"","revista","categoria","ano","ISSN"
"42","ACTA PSYCHIATRICA SCANDINAVICA","A1",2022,"
1600-0447"
"43","ACTA PSYCHOLOGICA","A1",2022,"0001-6918"
"44","ACTA PSYCHOLOGICA","A1",2022,"
1873-6297"
"45","ACTA SOCIOLOGICA","A1",2022,"0001-6993"
"46","ACTA SOCIOLOGICA","A1",2022,"
1502-3869"
"47","ACTA TROPICA","A1",2022,"0001-706X"
"48","ACTA TROPICA","A1",2022,"
1873-6254"
"49","BEHAVIOR GENETICS","A1",2022,"0001-8244"
"50","BEHAVIOR GENETICS","A1",2022,"
1573-3297"
"51","ADMINISTRATIVE SCIENCE QUARTERLY","A1",2022,"0001-8392"
"52","ADMINISTRATIVE SCIENCE QUARTERLY","A1",2022,"
1930-3815"
"53","ADVANCES IN COLLOID AND INTERFACE SCIENCE","A1",2022,"0001-8686"
"54","ADVANCES IN COLLOID AND INTERFACE SCIENCE","A1",2022,"
1873-3727"
"55","ADVANCES IN MATHEMATICS","A1",2022,"0001-8708"
"56","ADVANCES IN MATHEMATICS","A1",2022,"
1090-2082"
"57","ADVANCES IN PHYSICS","A1",2022,"0001-8732"
"58","ADVANCES IN PHYSICS","A1",2022,"
1460-6976"
"59","JOURNAL OF VOCATIONAL BEHAVIOR","A1",2022,"0001-8791"
"60","JOURNAL OF VOCATIONAL BEHAVIOR","A1",2022,"
1095-9084"
"61","AFRICA","A1",2022,"0001-9720"
"62","AFRICA","A1",2022,"
1750-0184"
"63","AFRICAN AFFAIRS","A1",2022,"0001-9909"
"64","AFRICAN AFFAIRS","A1",2022,"
1468-2621"
"65","AFRICAN ARTS","A1",2022,"0001-9933"
"66","AFRICAN ARTS","A1",2022,"
1937-2108"
"67","AFRICAN STUDIES","A1",2022,"0002-0184"
"68","AFRICAN STUDIES","A1",2022,"
1469-2872"
"69","AFRICAN STUDIES REVIEW","A1",2022,"0002-0206"
"70","AFRICAN STUDIES REVIEW","A1",2022,"
1555-2462"
"71","AFRICA SPECTRUM","A1",2022,"0002-0397"
"72","AFRICA SPECTRUM","A1",2022,"
1868-6869"
"73","JOURNAL OF NURSING ADMINISTRATION","A1",2022,"0002-0443"
"74","JOURNAL OF NURSING ADMINISTRATION","A1",2022,"
1539-0721"
"75","AGE AND AGEING","A1",2022,"0002-0729"
"76","AGE AND AGEING","A1",2022,"
1468-2834"
"77","AGRICULTURAL FINANCE REVIEW","A1",2022,"0002-1466"
"78","AGRICULTURAL FINANCE REVIEW","A1",2022,"
2041-6326"
"79","AGRICULTURAL HISTORY","A1",2022,"0002-1482"
"80","AGRICULTURAL HISTORY","A1",2022,"
1533-8290"
"81","AGRONOMY JOURNAL","A1",2022,"0002-1962"
"82","AGRONOMY JOURNAL","A1",2022,"
1435-0645"
"83","ALDRICHIMICA ACTA","A1",2022,"0002-5100"
"84","ALGEBRA AND LOGIC","A1",2022,"0002-5232"
"85","ALGEBRA AND LOGIC","A1",2022,"
1573-8302"
"86","ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE","A1",2022,"0002-7162"
"87","ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE","A1",2022,"
1552-3349"
"88","JOURNAL OF THE AMERICAN ACADEMY OF RELIGION","A1",2022,"0002-7189"
"89","JOURNAL OF THE AMERICAN ACADEMY OF RELIGION","A1",2022,"
1477-4585"
"90","AMERICAN ANTHROPOLOGIST","A1",2022,"0002-7294"
"91","AMERICAN ANTHROPOLOGIST","A1",2022,"
0364-9873"
"92","AMERICAN ANTHROPOLOGIST","A1",2022,""
"93","AMERICAN ANTIQUITY","A1",2022,"0002-7316"
"94","AMERICAN ANTIQUITY","A1",2022,"
2325-5064"
"95","AMERICAN BEHAVIORAL SCIENTIST","A1",2022,"0002-7642"
"96","AMERICAN BEHAVIORAL SCIENTIST","A1",2022,"
1552-3381"
"97","JOURNAL OF THE AMERICAN CERAMIC SOCIETY","A1",2022,"0002-7820"
"98","JOURNAL OF THE AMERICAN CERAMIC SOCIETY","A1",2022,"
1551-2916"
"99","JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","A1",2022,"0002-7863"
"100","JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","A1",2022,"
1520-5126"
"101","JOURNAL OF THE AMERICAN DENTAL ASSOCIATION","A1",2022,"0002-8177"
"102","JOURNAL OF THE AMERICAN DENTAL ASSOCIATION","A1",2022,"
1943-4723"
"103","AMERICAN ECONOMIC REVIEW","A1",2022,"0002-8282"
"104","AMERICAN ECONOMIC REVIEW","A1",2022,"
1944-7981"
"105","AMERICAN EDUCATIONAL RESEARCH JOURNAL","A1",2022,"0002-8312"
"106","AMERICAN EDUCATIONAL RESEARCH JOURNAL","A1",2022,"
1935-1011"
"107","AMERICAN FAMILY PHYSICIAN","A1",2022,"0002-838X"
"108","AMERICAN FAMILY PHYSICIAN","A1",2022,"
1532-0650"
"109","JOURNAL OF THE AMERICAN GERIATRICS SOCIETY","A1",2022,"0002-8614"
"110","JOURNAL OF THE AMERICAN GERIATRICS SOCIETY","A1",2022,"
1532-5415"
"111","AMERICAN HEART JOURNAL","A1",2022,"0002-8703"
"112","AMERICAN HEART JOURNAL","A1",2022,"
1097-6744"
"113","AMERICAN HISTORICAL REVIEW","A1",2022,"0002-8762"
"114","AMERICAN HISTORICAL REVIEW","A1",2022,"
1937-5239"
"115","AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS","A1",2022,"0002-9092"
"116","AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS","A1",2022,"
1467-8276"
"117","AMERICAN JOURNAL OF BOTANY","A1",2022,"0002-9122"
"118","AMERICAN JOURNAL OF BOTANY","A1",2022,"
1537-2197"
"119","AMERICAN JOURNAL OF CARDIOLOGY","A1",2022,"0002-9149"
"120","AMERICAN JOURNAL OF CARDIOLOGY","A1",2022,"
1879-1913"
"121","AMERICAN JOURNAL OF CLINICAL NUTRITION","A1",2022,"0002-9165"
"122","AMERICAN JOURNAL OF CLINICAL NUTRITION","A1",2022,"
1938-3207"
"123","AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE","A1",2022,"0002-9254"
"124","AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE","A1",2022,"
1943-7749"
"125","AMERICAN JOURNAL OF EPIDEMIOLOGY","A1",2022,"0002-9262"
"126","AMERICAN JOURNAL OF EPIDEMIOLOGY","A1",2022,"
1476-6256"
"127","AMERICAN JOURNAL OF GASTROENTEROLOGY","A1",2022,"0002-9270"
"128","AMERICAN JOURNAL OF GASTROENTEROLOGY","A1",2022,"
1572-0241"
"129","AMERICAN JOURNAL OF HUMAN GENETICS","A1",2022,"0002-9297"
"130","AMERICAN JOURNAL OF HUMAN GENETICS","A1",2022,"
1537-6605"
"131","AMERICAN JOURNAL OF INTERNATIONAL LAW","A1",2022,"0002-9300"
"132","AMERICAN JOURNAL OF INTERNATIONAL LAW","A1",2022,"
2161-7953"
"133","AMERICAN JOURNAL OF MATHEMATICS","A1",2022,"0002-9327"
"134","AMERICAN JOURNAL OF MATHEMATICS","A1",2022,"
1080-6377"
"135","AMERICAN JOURNAL OF MEDICINE","A1",2022,"0002-9343"
"136","AMERICAN JOURNAL OF MEDICINE","A1",2022,"
1555-7162"
"137","AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY","A1",2022,"0002-9378"
"138","AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY","A1",2022,"
1097-6868"
"139","AMERICAN JOURNAL OF OPHTHALMOLOGY","A1",2022,"0002-9394"
"140","AMERICAN JOURNAL OF OPHTHALMOLOGY","A1",2022,"
1879-1891"
"141","AMERICAN JOURNAL OF ORTHOPSYCHIATRY","A1",2022,"0002-9432"
"142","AMERICAN JOURNAL OF ORTHOPSYCHIATRY","A1",2022,"
1939-0025"
"143","AMERICAN JOURNAL OF PATHOLOGY","A1",2022,"0002-9440"
"144","AMERICAN JOURNAL OF PATHOLOGY","A1",2022,"
1525-2191"
"145","AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION","A1",2022,"0002-9459"
"146","AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION","A1",2022,"
1553-6467"
"147","AMERICAN JOURNAL OF PHILOLOGY","A1",2022,"0002-9475"
"148","AMERICAN JOURNAL OF PHILOLOGY","A1",2022,"
1086-3168"
"149","AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY","A1",2022,"0002-9483"
"150","AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY","A1",2022,"
1096-8644"
"151","AMERICAN JOURNAL OF PSYCHIATRY","A1",2022,"0002-953X"
"152","AMERICAN JOURNAL OF PSYCHIATRY","A1",2022,"
1535-7228"
"153","AMERICAN JOURNAL OF SCIENCE","A1",2022,"0002-9599"
"154","AMERICAN JOURNAL OF SCIENCE","A1",2022,"
1945-452X"
"155","AMERICAN JOURNAL OF SOCIOLOGY","A1",2022,"0002-9602"
"156","AMERICAN JOURNAL OF SOCIOLOGY","A1",2022,"
1537-5390"
"157","AMERICAN JOURNAL OF SURGERY","A1",2022,"0002-9610"
"158","AMERICAN JOURNAL OF SURGERY","A1",2022,"
1879-1883"
"159","AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE","A1",2022,"0002-9637"
"160","AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE","A1",2022,"
1476-1645"
"161","AMERICAN JOURNAL OF VETERINARY RESEARCH","A1",2022,"0002-9645"
"162","AMERICAN JOURNAL OF VETERINARY RESEARCH","A1",2022,"
1943-5681"
"163","AMERICAN LITERATURE A JOURNAL OF LITERARY HISTORY CRITICISM AND
BIBLIOGRAPHY","A1",2022,"0002-9831"
"164","AMERICAN LITERATURE A JOURNAL OF LITERARY HISTORY CRITICISM AND
BIBLIOGRAPHY","A1",2022,"
1527-2117"
"165","PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY","A1",2022,"0002-9939"
"166","PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY","A1",2022,"
1088-6826"
"167","TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY","A1",2022,"0002-9947"
"168","TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY","A1",2022,"
1088-6850"
"169","JAMA JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION","A1",2022,"0002-9955"
"170","JAMA JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION","A1",2022,"
0098-7484"
"171","JAMA JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION","A1",2022,""
"172","BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY","A1",2022,"0003-0007"
"173","BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY","A1",2022,"
1520-0477"
"174","AMERICAN MINERALOGIST","A1",2022,"0003-004X"
"175","AMERICAN MINERALOGIST","A1",2022,"
1945-3027"
"176","JOURNAL OF THE AMERICAN MUSICOLOGICAL SOCIETY","A1",2022,"0003-0139"
"177","JOURNAL OF THE AMERICAN MUSICOLOGICAL SOCIETY","A1",2022,"
1547-3848"
"178","AMERICAN NATURALIST","A1",2022,"0003-0147"
"179","AMERICAN NATURALIST","A1",2022,"
1537-5323"
"180","AMERICAN PHILOSOPHICAL QUARTERLY","A1",2022,"0003-0481"
"181","AMERICAN PHILOSOPHICAL QUARTERLY","A1",2022,"
2152-1123"
"182","AMERICAN POLITICAL SCIENCE REVIEW","A1",2022,"0003-0554"
"183","AMERICAN POLITICAL SCIENCE REVIEW","A1",2022,"
1537-5943"
"184","JOURNAL OF THE AMERICAN PSYCHOANALYTIC ASSOCIATION","A1",2022,"0003-0651"
"185","JOURNAL OF THE AMERICAN PSYCHOANALYTIC ASSOCIATION","A1",2022,"
1941-2460"
"186","AMERICAN PSYCHOLOGIST","A1",2022,"0003-066X"
"187","AMERICAN PSYCHOLOGIST","A1",2022,"
1935-990X"
"188","AMERICAN QUARTERLY","A1",2022,"0003-0678"
"189","AMERICAN QUARTERLY","A1",2022,"
1080-6490"
"190","BULLETIN OF THE AMERICAN SCHOOLS OF ORIENTAL RESEARCH","A1",2022,"0003-097X"
"191","BULLETIN OF THE AMERICAN SCHOOLS OF ORIENTAL RESEARCH","A1",2022,"
2161-8062"
"192","AMERICAN SOCIOLOGICAL REVIEW","A1",2022,"0003-1224"
"193","AMERICAN SOCIOLOGICAL REVIEW","A1",2022,"
1939-8271"
"194","AMERICAN SPEECH","A1",2022,"0003-1283"
"195","AMERICAN SPEECH","A1",2022,"
1527-2133"
"196","AMERICAN STATISTICIAN","A1",2022,"0003-1305"
"197","AMERICAN STATISTICIAN","A1",2022,"
1537-2731"
"198","JAVMA JOURNAL OF THE AMERICAN VETERINARY MEDICAL ASSOCIATION","A1",2022,"0003-1488"
"199","JAVMA JOURNAL OF THE AMERICAN VETERINARY MEDICAL ASSOCIATION","A1",2022,"
1943-569X"
"200","ANAESTHESIA","A1",2022,"0003-2409"
"201","ANAESTHESIA","A1",2022,"
1365-2044"
"202","ANALYSIS","A1",2022,"0003-2638"
"203","ANALYSIS","A1",2022,"
1467-8284"
"204","ANALYST","A1",2022,"0003-2654"
"205","ANALYST","A1",2022,"
1364-5528"
"206","ANALYTICA CHIMICA ACTA","A1",2022,"0003-2670"
"207","ANALYTICA CHIMICA ACTA","A1",2022,"
1873-4324"
"208","ANALYTICAL CHEMISTRY","A1",2022,"0003-2700"
"209","ANALYTICAL CHEMISTRY","A1",2022,"
1520-6882"
"210","ANESTHESIA AND ANALGESIA","A1",2022,"0003-2999"
"211","ANESTHESIA AND ANALGESIA","A1",2022,"
1526-7598"
"212","ANESTHESIOLOGY","A1",2022,"0003-3022"
"213","ANESTHESIOLOGY","A1",2022,"
1528-1175"
"214","ANGLE ORTHODONTIST","A1",2022,"0003-3219"
"215","ANGLE ORTHODONTIST","A1",2022,"
1945-7103"
"216","ANIMAL BEHAVIOUR","A1",2022,"0003-3472"
"217","ANIMAL BEHAVIOUR","A1",2022,"
1095-8282"
"218","ANNALEN DER PHYSIK","A1",2022,"0003-3804"
"219","ANNALEN DER PHYSIK","A1",2022,"
1521-3889"
"220","ANNALS OF APPLIED BIOLOGY","A1",2022,"0003-4746"
"221","ANNALS OF APPLIED BIOLOGY","A1",2022,"
1744-7348"
"222","ANNALS OF INTERNAL MEDICINE","A1",2022,"0003-4819"
"223","ANNALS OF INTERNAL MEDICINE","A1",2022,"
1539-3704"
"224","ANNALS OF MATHEMATICS","A1",2022,"0003-486X"
"225","ANNALS OF MATHEMATICS","A1",2022,"
1939-8980"
"226","ANNALS OF SURGERY","A1",2022,"0003-4932"
"227","ANNALS OF SURGERY","A1",2022,"
1528-1140"
"228","ANNALS OF THE RHEUMATIC DISEASES","A1",2022,"0003-4967"
"229","ANNALS OF THE RHEUMATIC DISEASES","A1",2022,"
1468-2060"
"230","ANNALS OF THORACIC SURGERY","A1",2022,"0003-4975"
"231","ANNALS OF THORACIC SURGERY","A1",2022,"
1552-6259"
"232","ANTIQUITY","A1",2022,"0003-598X"
"233","ANTIQUITY","A1",2022,"
1745-1744"
"234","ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND
MOLECULAR MICROBIOLOGY","A1",2022,"0003-6072"
"235","ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND
MOLECULAR MICROBIOLOGY","A1",2022,"
1572-9699"
"236","APPLIED ACOUSTICS","A1",2022,"0003-682X"
"237","APPLIED ACOUSTICS","A1",2022,"
1872-910X"
"238","APPLIED ERGONOMICS","A1",2022,"0003-6870"
"239","APPLIED ERGONOMICS","A1",2022,"
1872-9126"
"240","APPLIED MECHANICS REVIEWS","A1",2022,"0003-6900"
"241","APPLIED MECHANICS REVIEWS","A1",2022,"
1088-8535"
"242","APPLIED MECHANICS REVIEWS","A1",2022,""
"243","APPLIED PHYSICS LETTERS","A1",2022,"0003-6951"
"244","APPLIED PHYSICS LETTERS","A1",2022,"
1077-3118"
"245","ARCHAEOLOGY IN OCEANIA","A1",2022,"0003-8121"
"246","ARCHAEOMETRY","A1",2022,"0003-813X"
"247","ARCHAEOMETRY","A1",2022,"
1475-4754"
"248","ARCHITECTURAL SCIENCE REVIEW","A1",2022,"0003-8628"
"249","ARCHITECTURAL SCIENCE REVIEW","A1",2022,"
1758-9622"
"250","ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS","A1",2022,"0003-9527"
"251","ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS","A1",2022,"
1432-0673"
"252","ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS","A1",2022,"0003-9861"
"253","ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS","A1",2022,"
1096-0384"
"254","ARCHIVES OF DISEASE IN CHILDHOOD","A1",2022,"0003-9888"
"255","ARCHIVES OF DISEASE IN CHILDHOOD","A1",2022,"
1468-2044"
"256","ARCHIVES OF ORAL BIOLOGY","A1",2022,"0003-9969"
"257","ARCHIVES OF ORAL BIOLOGY","A1",2022,"
1879-1506"
"258","ARCHIVES OF PATHOLOGY LABORATORY MEDICINE","A1",2022,"0003-9985"
"259","ARCHIVES OF PATHOLOGY LABORATORY MEDICINE","A1",2022,"
1543-2165"
"260","ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION","A1",2022,"0003-9993"
"261","ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION","A1",2022,"
1532-821X"
"262","ARCHIVES OF SEXUAL BEHAVIOR","A1",2022,"0004-0002"
"263","ARCHIVES OF SEXUAL BEHAVIOR","A1",2022,"
1573-2800"
"264","ARCHIVUM IMMUNOLOGIAE ET THERAPIAE EXPERIMENTALIS","A1",2022,"0004-069X"
"265","ARCHIVUM IMMUNOLOGIAE ET THERAPIAE EXPERIMENTALIS","A1",2022,"
1661-4917"
"266","AREA","A1",2022,"0004-0894"
"267","AREA","A1",2022,"
1475-4762"
"268","ARKIV FOR MATEMATIK","A1",2022,"0004-2080"
"269","ARKIV FOR MATEMATIK","A1",2022,"
1871-2487"
"270","ART EDUCATION","A1",2022,"0004-3125"
"271","ART EDUCATION","A1",2022,"
2325-5161"
"272","ARTIFICIAL INTELLIGENCE","A1",2022,"0004-3702"
"273","ARTIFICIAL INTELLIGENCE","A1",2022,"
1872-7921"
"274","JOURNAL OF THE ACM","A1",2022,"0004-5411"
"275","JOURNAL OF THE ACM","A1",2022,"
1557-735X"
"276","ASTRONOMICAL JOURNAL","A1",2022,"0004-6256"
"277","ASTRONOMICAL JOURNAL","A1",2022,"
1538-3881"
"278","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","A1",2022,"0004-6264"
"279","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","A1",2022,"
2053-051X"
"280","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC","A1",2022,"0004-6280"
"281","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC","A1",2022,"
1538-3873"
"282","ASTRONOMY ASTROPHYSICS","A1",2022,"0004-6361"
"283","ASTRONOMY ASTROPHYSICS","A1",2022,"
1432-0746"
"284","ASTROPHYSICAL JOURNAL","A1",2022,"0004-637X"
"285","ASTROPHYSICAL JOURNAL","A1",2022,"
1538-4357"
"286","ATHENAEUM","A1",2022,"0004-6574"
"287","AUK","A1",2022,"0004-8038"
"288","AUK","A1",2022,"
1938-4254"
"289","AUSTRALASIAN JOURNAL OF PHILOSOPHY","A1",2022,"0004-8402"
"290","AUSTRALASIAN JOURNAL OF PHILOSOPHY","A1",2022,"
1471-6828"
"291","AUSTRALIAN AND NEW ZEALAND JOURNAL OF CRIMINOLOGY","A1",2022,"0004-8658"
"292","AUSTRALIAN AND NEW ZEALAND JOURNAL OF CRIMINOLOGY","A1",2022,"
1837-9273"
"293","AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY","A1",2022,"0004-8674"
"294","AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY","A1",2022,"
1440-1614"
"295","AUSTRALIAN ECONOMIC HISTORY REVIEW","A1",2022,"0004-8992"
"296","AUSTRALIAN ECONOMIC HISTORY REVIEW","A1",2022,"
1467-8446"
"297","AUSTRALIAN FORESTRY","A1",2022,"0004-9158"
"298","AUSTRALIAN FORESTRY","A1",2022,"
2325-6087"
"299","AUSTRALIAN GEOGRAPHER","A1",2022,"0004-9182"
"300","AUSTRALIAN GEOGRAPHER","A1",2022,"
1465-3311"
"301","AUSTRALIAN JOURNAL OF EDUCATION","A1",2022,"0004-9441"
"302","AUSTRALIAN JOURNAL OF EDUCATION","A1",2022,"
2050-5884"
"303","AUSTRALIAN JOURNAL OF FRENCH STUDIES","A1",2022,"0004-9468"
"304","AUSTRALIAN JOURNAL OF FRENCH STUDIES","A1",2022,"
2046-2913"
"305","AUTOMATICA","A1",2022,"0005-1098"
"306","AUTOMATICA","A1",2022,"
1873-2836"
"307","BIOCHIMICA ET BIOPHYSICA ACTA BIOENERGETICS","A1",2022,"0005-2728"
"308","BIOCHIMICA ET BIOPHYSICA ACTA BIOENERGETICS","A1",2022,"
1879-2650"
"309","BIOCHIMICA ET BIOPHYSICA ACTA BIOMEMBRANES","A1",2022,"0005-2736"
"310","BIOCHIMICA ET BIOPHYSICA ACTA BIOMEMBRANES","A1",2022,"
1879-2642"
"311","BEHAVIOR THERAPY","A1",2022,"0005-7894"
"312","BEHAVIOR THERAPY","A1",2022,"
1878-1888"
"313","JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY","A1",2022,"0005-7916"
"314","JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY","A1",2022,"
1873-7943"
"315","BEHAVIOUR","A1",2022,"0005-7959"
"316","BEHAVIOUR","A1",2022,"
1568-539X"
"317","BEHAVIOUR RESEARCH AND THERAPY","A1",2022,"0005-7967"
"318","BEHAVIOUR RESEARCH AND THERAPY","A1",2022,"
1873-622X"
"319","BIJDRAGEN TOT DE TAAL LAND EN VOLKENKUNDE","A1",2022,"0006-2294"
"320","BIJDRAGEN TOT DE TAAL LAND EN VOLKENKUNDE","A1",2022,"
2213-4379"
"321","BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS","A1",2022,"0006-291X"
"322","BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS","A1",2022,"
1090-2104"
"323","BIOCHEMICAL PHARMACOLOGY","A1",2022,"0006-2952"
"324","BIOCHEMICAL PHARMACOLOGY","A1",2022,"
1873-2968"
"325","BIOCHEMISTRY","A1",2022,"0006-2960"
"326","BIOCHEMISTRY","A1",2022,"
1520-4995"
"327","BIOCHIMICA ET BIOPHYSICA ACTA GENERAL SUBJECTS","A1",2022,"0006-3002"
"328","BIOCHIMICA ET BIOPHYSICA ACTA GENERAL SUBJECTS","A1",2022,"
0304-4165"
"329","BIOCHIMICA ET BIOPHYSICA ACTA GENERAL SUBJECTS","A1",2022,""
"330","BIOLOGIA PLANTARUM","A1",2022,"0006-3134"
"331","BIOLOGIA PLANTARUM","A1",2022,"
1573-8264"
"332","BIOLOGICAL BULLETIN","A1",2022,"0006-3185"
"333","BIOLOGICAL BULLETIN","A1",2022,"
1939-8697"
"334","BIOLOGICAL CONSERVATION","A1",2022,"0006-3207"
"335","BIOLOGICAL CONSERVATION","A1",2022,"
1873-2917"
"336","BIOLOGICAL PSYCHIATRY","A1",2022,"0006-3223"
"337","BIOLOGICAL PSYCHIATRY","A1",2022,"
1873-2402"
"338","BIOLOGICAL REVIEWS","A1",2022,"0006-3231"
"339","BIOLOGICAL REVIEWS","A1",2022,"
1464-7931"
"340","BIOLOGICAL REVIEWS","A1",2022,""
"341","BIOLOGY OF REPRODUCTION","A1",2022,"0006-3363"
"342","BIOLOGY OF REPRODUCTION","A1",2022,"
1529-7268"
"343","BIOMETRICS","A1",2022,"0006-341X"
"344","BIOMETRICS","A1",2022,"
1541-0420"
"345","BIOMETRIKA","A1",2022,"0006-3444"
"346","BIOMETRIKA","A1",2022,"
1464-3510"
"347","BIOPHYSICAL JOURNAL","A1",2022,"0006-3495"
"348","BIOPHYSICAL JOURNAL","A1",2022,"
1542-0086"
"349","BIOSCIENCE","A1",2022,"0006-3568"
"350","BIOSCIENCE","A1",2022,"
1525-3244"
"351","BIOTECHNOLOGY AND BIOENGINEERING","A1",2022,"0006-3592"
"352","BIOTECHNOLOGY AND BIOENGINEERING","A1",2022,"
1097-0290"
"353","BIT NUMERICAL MATHEMATICS","A1",2022,"0006-3835"
