grupo,categoria,Titulo,Fecha_inicio,Fecha_Fin,Descripcion
AYELEN,Estrategias Pedagógicas para el fomento a la CTI,Semillero Formadores en investigación de adicciones y ambientes familiares,Noviembre 2018,,"El semillero de Formadores en investigación de adicciones y ambientes familiares,busca promover la investigación formativa en estudiantes del Programa Académico de la facultad de psicología regional Bogotá, para ir fortaleciendo y creando en sus participantes nuevas competencias, capacidades y estrategias que atiendan la población consumidora de sustancias psicoactivas y otras adicciones, desde la prevención, la atención integral y la promoción de estilos de vida saludable"
AYELEN,Estrategias Pedagógicas para el fomento a la CTI,Semillero de investigación: Investigadores Psicoeducativos,Febrero 2018,,"El semillero Investigadores psicoeducativos desarrolla actividades de investigación formativa relativa a temas propios de la psicología educativa. Durante el año 2018, se abordó el tema de la deserción estudiantil y sus causas en educación superior, y durante el presente año, se trabajará el tema del compromiso académico y los factores que motivan al estudiante a participar de actividades académicas y extracadémicas, destacarse en sus estudios y persistir pese a las dificultades que pueda presentar a lo largo de su carrera. ,,Puntualmente se hará una investigación de compromiso académico en una muestra de estudiantes del programa de psicología presencial de la Universidad Católica Luis Amigó, con el propósito de describir el nivel de compromiso que tienen los estudiantes e identificar aquellas variables que tienen mayor influencia en el fortalecimiento del mismo, así como aquellas que por el contrario lo debilitan o disminuyen."
CALIDAD DE VIDA,Estrategias Pedagógicas para el fomento a la CTI,Semillero Academic Backpackers,Febrero 2018,Noviembre 2018,Investigamos en procesos de comprensión lectora en ingles como segundo idioma.
CALIDAD DE VIDA,Estrategias Pedagógicas para el fomento a la CTI,"Semillero""La Espiga del Derecho""",Febrero 2018,Noviembre 2018,"Fortalecer las competencias básicas en investigación, articulada al proyecto de investigación la enseñanza del Derecho, vale decir, como conocimiento sistematizado y verificable en las normas jurídicas hacia el bien común, fundado en las teorías epistemológicas que la informan como ciencia pura, y caracterizado por ser un sistema jurídico que rige los países del mundo, conforme si es legislado o consuetudinario. El semillero ¿Espiga del Derecho¿ con esta experiencia, Desarrollará competencias investigativas articuladas al proyecto de investigación: ¿la Enseñanza del Derecho¿."
CALIDAD DE VIDA,Estrategias Pedagógicas para el fomento a la CTI,Semillero Medios Audiovisuales en Educación MAE,Enero 2018,Noviembre 2018,"Fomentar el desarrollo de competencias comunicativas así como la participación de un grupo de jóvenes de perteneciente a los programas de preescolar, con el fin de formar en recepción crítica y producción de televisión aplicada en trabajo de aula de forma tal que se propicie la construcción de ciudadanía de manera íntegra, participativa e incluyente en los ambientes escolares de la primera infancia.,,Ganadores del Encuentro Nacional de Semilleros de Investigación de la Luis Amigó 2018. Con la Investigación ""Percepción de la Lúdica en las Instituciones Públicas por parte de los docentes de grado Preescolar de los Municipios de Planeta Rica y Pueblo Nuevo Córdoba"""
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Estrategias Pedagógicas para el fomento a la CTI,Escritura científica (Doctorado),Agosto 2019,Diciembre 2019,"Según la práctica discursiva de investigadores, la escritura científica en la formación de posgrados se caracteriza por dos formas eficaces de producir los textos. La primera es la ¿secuencialista¿, que consiste en reescribir, distribuir la escritura por partes del artículo como un proceso en etapas; la segunda, es la ¿holística¿, que realiza escritos cortos y una vez acabados se integran como un todo de forma continua. También se identifica una forma ineficaz que es preciso evitar, como es la escritura interrumpida o a pausas, según el ¿tiempo libre¿, sin terminar partes, en la que se abandona el escrito por un tiempo y luego se reanuda; de tal modo que, en muchas ocasiones, los autores dejan comenzados, dispersos e incompletos los textos derivados de sus análisis teóricos y de resultados de la tesis."
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Estrategias Pedagógicas para el fomento a la CTI,Escribir para publicar en investigación AFIEV04,Julio 2019,,"Estrategia pedagógica para el fomento a la CTeI denominada:,¿Escribir para publicar en investigación¿, código AFIEV04, modalidad virtual,,que inició el 12 de agosto de 2019 con una vigencia a largo plazo, pues la misma,implica un curso de formación dirigido a estudiantes de pregrado, posgrado y,docentes universitarios con la intencionalidad de desarrollar competencias,investigativas que faciliten la práctica profesional y diferencien al estudiante y,docente de la institución por la mirada que realizan al fenómeno foco de interés,dentro de su disciplina de formación. Dicha Estrategia pedagógica para el,fomento a la CTeI es liderada y coordinada por la Vicerrectoría de,Investigaciones de la Institución."
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Estrategias Pedagógicas para el fomento a la CTI,Mapeo Colectivo,Julio 2019,Noviembre 2019,"Los mapas colectivos son formas ampliadas de comprender, reflexionar y señalizar diversos aspectos de la realidad cotidiana a través de soportes gráficos y visuales que visibilizan las problemáticas del territorio e identifican y reflexionan sus relaciones con otras temáticas"
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Estrategias Pedagógicas para el fomento a la CTI,"Preicfes Gratuito del Centro de Estudios Sobre Lenguaje y Alteridad en San Jose del Palmar, Choco",Julio 2019,Julio 2019,
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Estrategias Pedagógicas para el fomento a la CTI,Iniciación a la Investigación. Semillero de Investigación Problemáticas Psicosociales Contemporáneas,Febrero 2019,,"Fomentar la cultura de la investigación en estudiantes, mediante la generación de investigación científica y formativa que propenda por la construcción de nuevas lógicas de comprensión en el entramado complejo de las problemáticas psicosociales contemporáneas."
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Estrategias Pedagógicas para el fomento a la CTI,"Diseño Metodológico, modalidad virtual",Febrero 2019,,"Los diseños estructurados y los diseños flexibles (los primeros comunes entre las investigaciones cuantitativas y los segundos entre las cualitativas), son formas válidas para producir conocimientos de la realidad, y para que ello sea posible, se necesita plantear el problema a investigar, revisar la literatura, recolectar datos, analizarlos, construir conocimientos y finalmente divulgar los hallazgos encontrados del fenómeno en estudio. Estas características y procesos fundamentales del acto investigativo, se desarrollan con especificidades, de acuerdo al método de investigación. ,Específicamente desde una perspectiva interpretativa (conocida comúnmente como cualitativa) el propósito fundamental consiste en comprender, desde el marco de referencia de los actores, sus experiencias y la producción de sentidos y significados de la acción emprendida por ellos.  La revisión de la literatura es necesaria para identificar el horizonte y el contexto de producción de conocimientos, que orientará la labor de producción de información y conocimientos.  El proceso investigativo se orienta por un diseño flexible, espiralado, de acercamiento de niveles generales y exploratorios, a niveles profundos de comprensión de la subjetividad humana, a la cual se accede por diferentes modos de expresión. Los conocimientos son siempre parciales y construidos entre las contrapartes activas de la investigación y con ellos se procura una función orientadora de la acción de los actores en el contexto específico de sus realidades. ,La importancia de este curso radica en  que el estudiante logrará adquirir las competencias básicas para comprender las lógicas y dinámicas propias de la investigación cualitativa."
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Estrategias Pedagógicas para el fomento a la CTI,"Semillero de Investigación Psicopolítica: Poder, Diferencia y Subjetividad",Enero 2019,Diciembre 2019,
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Estrategias Pedagógicas para el fomento a la CTI,Semillero de Investigación Psicología y Diversidades,Octubre 2018,,"El Semillero de Investigación Psicología y Diversidades facilita escenarios para la formación del espíritu científico en los estudiantes de psicología, a través de estudios interculturales que orientan las búsquedas de psicologías emergentes en el trabajo colaborativo con grupos étnicos, la indagación de prácticas en salud mental comunitaria y diversas formas de movimientos sociales."
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Estrategias Pedagógicas para el fomento a la CTI,Semillero de Investigación Psicología y Diversidades,Julio 2017,,"Investigar  prácticas  psicológicas  en  contextos  de diversidad y la producción de formas de vidas ""otras""."
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Estrategias Pedagógicas para el fomento a la CTI,Curso Doctorado en Estudios Intersdisciplinarios en Psicología,Julio 2017,Noviembre 2017,"Al presentar un curso que propone una nueva forma de contemplar y abordar los,fenómenos psicosociales, se requería de una precisión epistemológica que ubicara,esta nueva propuesta, clínica de lo social, en las rupturas paradigmáticas de las,ciencias sociales y de la Psicología como disciplina, además de su implicación con,el paradigma de la complejidad."
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Estrategias Pedagógicas para el fomento a la CTI,"Seminario de profundización elegible: Configuración de subjetividades, nuevas ciudadanías y participación sociopolítica, para programa Doctorado en Estudios Interdisciplinarios en Psicología",Junio 2017,Diciembre 2017,"El curso comprende tres conceptos que se consideran intereses emergentes en la contemporaneidad, teniendo en cuenta la realidad política, social y económica que vive en particular Colombia y en más amplitud América Latina: la configuración de subjetividades, entendiendo que allí se deben poner en tensión las concepciones de sujeto que han desarrollado clásicamente las ciencias sociales y los ideales de ser humano; las nuevas ciudadanías, atendiendo a emergentes maneras de vivir lo público y en lo público, y la crítica al concepto de ciudadano europeo desde el civismo y las virtudes; y la participación sociopolítica, como formas de actuación que ponen a los sujetos en el lugar de las relaciones con los sistemas sociales, políticos, económicos, educativos, para la apropiación del debate público y la comprensión de los mismos dentro de acontecimientos como las violencias, inequidades, actos de corrupción y robo de lo público, entre otros. Así, el curso pretende ofrecer un panorama de los estudios en cultura política y nuevas ciudadanías que a nivel de América Latina se vienen adelantando. Procesos en los que cobra relevancia las diversidades y las subjetividades."
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Estrategias Pedagógicas para el fomento a la CTI,Sujetos y Actores del Desarrollo,Junio 2017,Diciembre 2017,"Tradicionalmente se pensó el desarrollo desde una visión mecánica, determinada por la acumulación,de riqueza y las lógicas del mercado, cuyos referentes fueron racionalidades económicas y sociales de,las grandes potencias que se consideraron mejores, razón por lo cual merecían universalizarse.,No obstante, con el devenir histórico se fue demostrando la obsolencia de esta idea, pues el desarrollo,excede la esfera económica y termina impactando todas las dimensiones del ser humano y la,naturaleza, asociándose a lógicas de exclusión, desarraigo cultural y problemas ambientales, justo los,problemas que suponía evitar. Como discurso y practica naturalizada en el mundo social, empieza a,derivar cosmovisiones y racionalidades que inevitablemente convocan diversidad de actores e,intereses a menudo inmersos en dinámicas de poder tensionadas y conflictuadas.,El curso sujetos y actores del desarrollo constituye un espacio donde el desarrollo se entiende como,un proceso multidimensional que involucra diversos actores quienes en una constante construcción-,deconstrucción, lo configuran y lo expresan. En este espacio, los estudiantes podrán aproximarse,teóricamente a la comprensión del rol que tiene el mercado, el Estado y los movimientos sociales en la,definición de procesos de desarrollo que atraviesan todas las dimensiones humanas y frente a los,cuales la psicología debe asumir una posición.,En efecto, la psicología no puede permanecer inmutable frente a las discusiones que las políticas de,desarrollo derivan ni frente a la acción de los sujetos y actores que convocan, porque estos son un eje,fundamental en la constitución de las sociedades. Para ello es necesario que establezca un diálogo,abierto no solo con los marcos conceptuales del desarrollo, sino con otras ciencias sociales y políticas,que se han pronunciado frente a las dinámicas de la modernidad, de forma crítica y reflexiva,,observando sus fisuras y alcances en los seres humanos.,Se espera así, que el estudiante reflexione en torno a las expresiones de desarrollo, sus lógicas e,impacto en el individuo, los grupos y la sociedad, identificando el papel de la psicología frente a los mismos."
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Estrategias Pedagógicas para el fomento a la CTI,Semillero de investigación: Fenómenos psicológicos en educación,Febrero 2016,,"El semillero de investigación tiene como propósito fortalecer las competencias investigativas en las áreas de la psicología y la educación, a partir de metodologías y estrategias propias de la investigación cualitativa."
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Estrategias Pedagógicas para el fomento a la CTI,Articulación de la investigación formativa en las especializaciones de la Fundación Universitaria Luis Amigó,Febrero 2015,Febrero 2017,"La Vicerrectoría de Investigaciones de la Fundación Universitaria Luis Amigó, pretende generar una cultura de la investigación en la institución , y para ello propende por la articulación de la investigación en sus distintos niveles, pregrados, especializaciones y maestrías."
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Estrategias Pedagógicas para el fomento a la CTI,Semillero de Reconciliación Social en Medio del Conflicto,Febrero 2015,Diciembre 2016,"Los conflictos sociopolíticos violentos son uno de los problemas más relevantes de nuestro tiempo, entre otras razones, por los elevados costos que comporta en ámbitos muy diferentes: sociales, psicológicos, ambientales, económicos, políticos, etc. Una de las áreas de las ciencias sociales que más se ha interesado por conocer los motivos que impulsan la violencia socio-política es la Psicología Social. Desde las primeras guerras mundiales, son múltiples los estudios realizados en esta disciplina para analizar los factores contextuales y psicológicos asociados a los grupos que ejercen la violencia, estos estudios han sido muy importantes para entender la naturaleza de los conflictos. Pero en las últimas décadas, el cambio en los estilos de conflicto armado, pasando de las guerras de grandes bloques de países a las confrontaciones violentas al interior de los Estados-Nación, han hecho resurgir la necesidad de estudiar elementos que permitan a los miembros de una misma comunidad, reconducir la violencia y restablecer las relaciones intergrupales. En este sentido, las nuevas aproximaciones a los conflictos intraestatales consideran que el desarrollo de ciertas actitudes, habilidades y clima socio-emocional favorecen una transformación constructiva de los conflictos hasta llegar a lo que se denomina Reconciliación Social. La Reconciliación Social se concibe como una etapa en la que se llevan a cabo cambios políticos y psicológicos que permiten la convivencia duradera y no violenta de grupos sociales que antes estaban confrontados, de ahí la importancia de estudiar esta temática. Si bien el estudio de la Reconciliación ha logrado avances importantes, es un tema de desarrollo muy reciente y su bagaje teórico y empírico aún está en proceso de construcción. No existen en la actualidad, modelos explicativos generalizables a diversos contextos culturales, sino que la mayoría de estudios se han hecho en conflictos concretos Chile (Manzi y González, 2007), Croacia (Kosic, Noor y Mannetti, 2011) Sudáfrica (Gibson, 2004), Irlanda del Norte (Noor, Brown y Prentice, 2008), Ruanda (Staub, 2005), Palestino-Israelí (Shnabel, Nadler, Ullrich, Dovidio y Carmi, 2009; SimanTov-Nachlieli y Shnabel, 2013) etc. y están en proceso de validación ecológica, esta propuesta de semillero haría un aporte a dicha validación ecológica del constructo de Reconciliación Social. El desarrollo de esta investigación en el seno del Semillero pretende generar nuevo conocimiento, al abordar variables que no han sido relacionadas empíricamente, tal y como ocurre con la relación entre la perspectiva temporal, y/o las emociones y la mejor o peor actitud ante los procesos de reconciliación Social. A través de este semillero de investigación se dará apoyo al proyecto de investigación titulado: ¿Actitud hacia la Reconciliación Social tras una etapa de Violencia Política: Construcción de un instrumento de medida ajustado al contexto colombiano¿ que adelanta la docente que haría el papel de docente coordinadora del semillero. Adicionalmente, la dinámica propia de la investigación permitirá a los alumnos preparar ponencias para participar en eventos nacionales y locales, les facilitará hacer trabajo de campo y contar con la colaboración del grupo de investigación Comportamiento Social y Psicometría Aplicada de la Universidad de Santiago de Compostela, grupo con el cual la docente que presenta la propuesta tiene una estrecha relación académica y con la que tiene varias publicaciones conjuntas relacionadas con la temática del semillero."
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Estrategias Pedagógicas para el fomento a la CTI,"Semillero de Investigación en psicología social ""Sapere Aude""",Enero 2015,Diciembre 2018,"Espacio que contribuye al fortalecimiento de la investigación formativa en la Universidad Luis Amigó, en el cual participan estudiantes del pregrado de psicología interesados en aportar a la construcción de una comunidad investigativa alrededor de los fenómenos y dinámicas de entornos próximos. Los elementos epistemológicos, metodológicos y éticos que se retoman en el semillero, apuntan hacia la vertiente interesada en los procesos de construcción social, la interacción de lo individual y lo social, la intersubjetividad y los vínculos sociales."
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Estrategias Pedagógicas para el fomento a la CTI,"Semillero de Investigación pregrado: Emoción, cerebro y aprendizaje.",Febrero 2014,Noviembre 2014,Semillero de investigación formativa para estudiantes de pregrado en Licenciatura preescolar de la Luis Amigó.
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Estrategias Pedagógicas para el fomento a la CTI,Semillero de Aplicación Neurocognitiva y Psicosocial,Febrero 2014,Noviembre 2017,"El semillero tiene como propósito formar en los estudiantes un espíritu investigativo que les permita generar inquietudes con respecto al área de conocimiento de la psicología y de la neuropsicología, que con la capacitación continua y el acompañamiento de docentes investigadores en el área neuropsicológica y psicosocial, puedan plantearse  problemas de investigación en éstas temáticas con el interés de resolverlos. De ésta manera el semillero apoyará sin duda la alimentación de la línea de investigación problemáticas contemporáneas, que favorece la interdisciplinariedad."
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Estrategias Pedagógicas para el fomento a la CTI,Proceso investigación formativa Pregrado en Psicología Fundación Universitaria Luis Amigó,Enero 2014,Febrero 2017,"La formación en investigación en pregrado debe procurar que el estudiante adquiera competencias básicas para construir, desarrollar y culminar un proceso de investigación. Este propósito se alcanza atendiendo tanto al proceso como a los productos elaborados a lo largo de cualquier ejercicio investigativo. ,Los estudiantes, generalmente en sus últimos semestres de la carrera, matriculan tres cursos de trabajo de grado, que invitan a la elaboración de diferente tipo de productos que permitan materializar el proceso de formación en investigación.,El proceso de formación será percibido y evaluado en los encuentros que el profesor tiene con los estudiantes cada dos semanas, en los que se contemple: asistencia, puntualidad, argumentación, sentido crítico y los reportes orales de su trabajo.Los productospor su parte, tienen el propósito de formalizar el proceso investigativo. ,Los estudiantes de los cursos de trabajo de grado serán distribuidos por subgrupos. Cada subgrupo deberá entregar al finalizar el semestre un paquete de entregables que den cuenta del trabajo realizado durante el semestre., Trabajo de grado I,-	Texto escrito que constituya un apartado del estado del arte,-	Texto escrito que constituya un apartado del referente conceptual,-	Fichas bibliográficas y de contenido del material consultado,-	Texto conpreguntas orientadorasde la investigación,,Trabajo de grado II,-	Protocolos de instrumentos de generación de información,-	Información sistematizada generada a través de las técnicas (v.g. entrevistas transcritas, encuestas diligenciadas, fichas analíticas, registro de técnicas interactivas, etc.),-	Productos del proceso de transformación de datos en fase de exposición (v.g. listado de códigos y categorías descriptivas, mapas categoriales, networks, textos interpretativos de imágenes, etc.),,Trabajo de grado III (Uno de los siguientes de acuerdo al proceso de cada subgrupo)ó,-	Texto de carácter interpretativo  sobre una de las categorías emergentesó,-	Texto con memoria metodológica o ensayo reflexión sobre el proceso de investigación,-	Artículo susceptible de ser publicado."
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Estrategias Pedagógicas para el fomento a la CTI,Semillero de Investigación Universitario: Intervención sobre las Violencias Sexuales.,Julio 2012,Diciembre 2015,"Proceso formativo, en el que estudiantes de psicología, de la Universidad Luis Amigó y de la Universidad de Antioquia, se apropiaron de manera gradual, de la temática sobre violencias sexuales, en el entorno de la ciudad de Medellín; pero también, de manera muy puntual de estrategias técnicas de investigación, como forma de hacer profesional, para la cualificación profesional."
FAMILIA DESARROLLO Y CALIDAD DE VIDA,Estrategias Pedagógicas para el fomento a la CTI,Teorías de Familia clásicas y contemporáneas para doctorado en Estudios Interdisciplianrios de Psicología,Junio 2017,Diciembre 2017,"La formación de un investigador en el tema de familia implica un dominio de los conceptos que conforman las teorías concernientes a ella. Estas teorías están constituidas en dos meta-categorías, una las teorías tradicionales de familia, la otra las teorías contemporáneas de la familia. Este seminario pretende que el estudiante de doctorado pueda comprender las teorías de familia clásicas y contemporáneas con el fin de hacerlas dialogar con las problemáticas actuales que afectan a las familias."
"EDUCACION, INFANCIA Y LENGUAS EXTRANJERAS",Estrategias Pedagógicas para el fomento a la CTI,Foro por la calidad de la Educación: Zona Norte,Enero 2019,Noviembre 2019,"En el marco del proyecto de investigación: La Gestión académico-pedagógica como estrategia para mejorar los índices de calidad de las instituciones educativas: Zona Norte. Se llevó a cabo el I Foro por la Calidad de la Educación, debido a que desde la Universidad se ha venido reflexionando y cuestionando los procesos educativos y su relación con la calidad de la educación. Es por ello, que desde el proyecto de investigación La Gestión académico pedagógica como estrategia para mejorar los índices de calidad de las instituciones educativas, se propone la estrategia pedagógica para el fomento a la CTeI como  un espacio de discusión en el cual  se compartieron reflexiones y estrategias que favorezcan el hacer docente."
"EDUCACION, INFANCIA Y LENGUAS EXTRANJERAS",Estrategias Pedagógicas para el fomento a la CTI,Semillero en Formación de Maestros de Lenguas (FML)_2018,Enero 2018,Noviembre 2018,"El semillero FML se concibe como una comunidad de aprendizaje que busca promover entre sus miembros el desarrollo de competencias investigativas, académicas y personales, a partir de la indagación y la reflexión en torno a la formación de maestros de lenguas, para contribuir a su cualificación como docentes investigadores críticos, éticos y propositivos. FML apuesta por la construcción y la apropiación social del conocimiento desde la excelencia, la criticidad, la autonomía, la co-responsabilidad y la sensibilidad social."
"EDUCACION, INFANCIA Y LENGUAS EXTRANJERAS",Estrategias Pedagógicas para el fomento a la CTI,Desarrollo del pensamiento creativo en la infancia,Febrero 2017,Noviembre 2017,"El semillero DEPCI nace de la necesidad que tiene el proyecto ¿Universidad de los niños¿, de formar sus estudiantes en procesos relacionados con el pensamiento creativo; con la intención de responder a las demandas del medio, y lograr una intervención significativa en la población infantil a partir de las preguntas de los niños y niñas que generen conocimiento en los estudiantes universitarios y se movilicen en torno a ellas con el fin de construir conjuntamente respuestas que incrementen la curiosidad y fortalezcan el pensamiento creativo en los estudiantes para que su posterior abordaje con la infancia sea incluyente, dinámico, transformador para la sociedad."
"EDUCACION, INFANCIA Y LENGUAS EXTRANJERAS",Estrategias Pedagógicas para el fomento a la CTI,Semillero en Formación de Maestros de Lenguas (FML)_2017,Febrero 2017,Noviembre 2017,"El semillero en formación de maestros de lenguas (FML) es un espacio académico que busca promover en los estudiantes el desarrollo de competencias investigativas y académicas a partir de la indagación y la reflexión en torno a la formación de maestros de lenguas, para contribuir a su cualificación como docentes investigadores críticos, éticos y propositivos."
