grupo,categoria,Tipo_producto,Titulo,Pais,Ano,ISBN,Editorial,Autores,id
FILOSOFIA Y TEOLOGIA CRITICA,Libros publicados,Libro resultado de investigación,La Consumación de la Verdad en la Solidaridad: el Neopragmatismo de Richard Rorty,Colombia,2014,978-958-8399-71-3,Fondo Editorial Funlam,JESUS DAVID GIRADO SIERRA,11
FILOSOFIA Y TEOLOGIA CRITICA,Libros publicados,Libro resultado de investigación,"Estudios sobre historia y filosofía de la ciencia: Kuhn, Feyerabend, Lakatos, Fleck y Koyré",Colombia,2014,978-958-8399-70-6,Funlam,LINA MARCELA DE LA MILAGROSA CADAVID RAMIREZ,12
FILOSOFIA Y TEOLOGIA CRITICA,Libros publicados,Libro resultado de investigación,Ludwig Wittgenstein: De La Esencia A La Contingencia,Colombia,2013,978-958-8399-65-2,Fondo Editorial Funlam,DAVID ESTEBAN ZULUAGA MESA,13
FILOSOFIA Y TEOLOGIA CRITICA,Libros publicados,Libro resultado de investigación,Organización Y Conocimiento,Colombia,2011,978-958-8399-45-4,Fondo Editorial Funlam,"DAVID ESTEBAN ZULUAGA MESA, CARLOS ANDRES ARISTIZABAL BOTERO, CARLOS MARIO DURANGO YEPES, EDWIN ANDRES SEPULVEDA CARDONA, ELKIN HORACIO QUIROS LIZARAZO, JOSE ENRIQUE ARIAS PEREZ, JUAN ANDRES CARDENAS DORIA, MARIO LEON RESTREPO MUNERA",14
FILOSOFIA Y TEOLOGIA CRITICA,Libros publicados,Libro resultado de investigación,Caracterización De Estrategias Investigativas Caso Aplicado A Grupos De Investigación De La Upb Y La Unalmed,Colombia,2008,978-958-696-698-6,U.P.B.,"BAYRON LEON OSORIO HERRERA, LUIS HERNANDO ALZATE RAMIREZ",15
URBANITAS,Libros publicados,Libro resultado de investigación,"Consumo, estilos de vida y clases medias en Medellín",Colombia,2021,978-958-764-997-0,Editorial Universidad Pontificia Bolivariana,JIMENA ISAZA ALVAREZ,16
URBANITAS,Libros publicados,Libro resultado de investigación,El suicidio. Una mirada integral e integradora,Colombia,2020,978-958-8943-61-9,Fondo Editorial Fundacion Universitaria Luis Amigo,"JHOEEN SNEYDER ROJAS DIAZ, MARCOS VEGA SENA, MARIA VICTORIA RESTREPO TOBON, DAVID IGNACIO MOLINA VELASQUEZ, OMAR AUGUSTO AMADOR SANCHEZ, SANDRA ISABEL MEJIA ZAPATA, JOHN JAIRO GARCIA PENA, GLORIA CECILIA CARDONA RIOS, ELIZA KRATC GIL, DIEGO LEON CARVAJAL SERNA, ANGEL AUGUSTO VIZCAYA CASTILLO",17
URBANITAS,Libros publicados,Libro resultado de investigación,El secuestro. Un retorno al tiempo primitivo,Colombia,2019,978-958-52376-5-0,Fondo Editorial Corporación Universitaria Remington,"FERNANDO AQUILES DE LA SANTISI ARANGO NAVARRO, DELIO DAVID ARANGO NAVARRO",18
URBANITAS,Libros publicados,Libro resultado de investigación,POPaganda. El fracaso institucional y el triunfo de nadie,Colombia,2019,978-958-8943-52-7,Fondo Editorial Universidad Católica Luis Amigó,JUAN DIEGO LOPEZ MEDINA,19
URBANITAS,Libros publicados,Libro resultado de investigación,Hacia el reto de marcas sostenibles,Colombia,2019,978-958-8943-51-0,Fondo Editorial Luis Amigó,"RAFAEL MAURICIO PARIS RESTREPO, JUAN DIEGO LOPEZ MEDINA",20
URBANITAS,Libros publicados,Libro resultado de investigación,"""Campañas De Prevención De Violencia De Género En Colombia Y España: Un Análisis desde la Psicología Social y la Publicidad Social""",Colombia,2018,978-958-5468-08-5,Universidad de Manizales,"FLORENTINO MORENO MARTIN, JAIME ALBERTO CARMONA PARRA, DIEGO ENRIQUE OCAMPO LOAIZA, ANCIZAR VARGAS LEON, SARA VICTORIA ALVARADO SALGADO",21
URBANITAS,Libros publicados,Libro resultado de investigación,"Ciudad Botero. Espacios, oficios y representaciones. Descripción bibliográfica.",Colombia,2016,978-958-8743-90-5,Fondo Editorial Itm,"FERNANDO AQUILES DE LA SANTISI ARANGO NAVARRO, KATHYA JEMIO ARNEZ, JULIANA LOPEZ LOPEZ",22
URBANITAS,Libros publicados,Libro resultado de investigación,Manual de gestión de marca para PYMES,Colombia,2015,978-958-8922-17-1,Sello Editorial Universidad De Medellin,"RAFAEL VARGAS CANO, LUIS RODRIGO VIANA RUIZ, CARLOS ARANGO LOPERA, LUISA FERNANDA MONTALVO ARROYAVE, RAFAEL MAURICIO PARIS RESTREPO",24
URBANITAS,Libros publicados,Libro resultado de investigación,De la caverna al umbral,Colombia,2015,978-958-8399-98-0,Fondo Editorial Fundacion Universitaria Luis Amigo,"RAFAEL MAURICIO PARIS RESTREPO, GLORIA MARIA LOPEZ ARBOLEDA",25
URBANITAS,Libros publicados,Libro resultado de investigación,eBooks interactivos. Diseño y producción,Colombia,2015,978-958-8399-83-6,Fondo Editorial Funlam,"EDWIN ANDRES SEPULVEDA CARDONA, CARLOS SUAREZ QUICENO",26
URBANITAS,Libros publicados,Libro resultado de investigación,eBooks interactivos - Versión interactiva,Colombia,2015,978-958-8399-82-9,Fondo Editorial Luis Amigó,"EDWIN ANDRES SEPULVEDA CARDONA, CARLOS SUAREZ QUICENO",27
URBANITAS,Libros publicados,Libro resultado de investigación,Televisión enlatada. Características ideológicas de los seriados de televisión estadounidense emitidos en Colombia entre 1955 y 1990,Colombia,2014,978-958-8399-75-1,Fondo Editorial Fundacion Universitaria Luis Amigo,"FERNANDO AQUILES DE LA SANTISI ARANGO NAVARRO, MARIA CRISTINA LOAIZA PINEDA, ANCIZAR VARGAS LEON",28
URBANITAS,Libros publicados,Libro resultado de investigación,Personitas De Colores. Narrativas Icónicas Sobre Valores Y Derechos Fundamentales De Niños Y Niñas Antioqueños Entre Los 5 Y Los 14 Años,Colombia,2012,978-958-57670-0-3,Periódico El Mundo SA,"LIGIA INES ZULUAGA ARIA, NELIDA MARIA MONTOYA RAMIREZ",29
URBANITAS,Libros publicados,Libro resultado de investigación,"Medellín, ciudad fragmentada. Modernidad, comunicación y cultura en la contemporaneidad",Colombia,2008,978-958-44-3868-3,Fondo Editorial Luis Amigó,PAOLO ANTONIO VILLALBA STORTI,30
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros publicados,Libro resultado de investigación,El suicidio. Una mirada integral e integradora,Colombia,2020,978-958-8943-61-9 ,Fondo Editorial Universidad Católica Luis Amigó,"MARIA VICTORIA RESTREPO TOBON, ANGEL AUGUSTO VIZCAYA CASTILLO, ELIZA KRATC GIL, JHOEEN SNEYDER ROJAS DIAZ, SANDRA ISABEL MEJIA ZAPATA, GLORIA CECILIA CARDONA RIOS, DAVID IGNACIO MOLINA VELASQUEZ, OMAR AUGUSTO AMADOR SANCHEZ, ANA LUCIA CEBALLOS DUQUE, JOHN JAIRO GARCIA PENA, MARCOS VEGA SENA, DIEGO LEON CARVAJAL SERNA",32
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros publicados,Libro resultado de investigación,Problemáticas psicosociales en el ámbito universitario y programas de prevención,Colombia,2017,978-958-8943-28-2 ,Fondo Editorial Universidad Católica Luis Amigó,"GUSTAVO ADOLFO CALDERON VALLEJO, GUILLERMO ALONSO CASTANO, CAROLINA MONTOYA MONTOYA",35
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros publicados,Libro resultado de investigación,Las representaciones sociales de los profesionales que intervienen las adicciones no químicas en el Valle de Aburrá,Colombia,2016,978-958-8943-06-0,Fondo Editorial Luis Amigó,GUSTAVO ADOLFO CALDERON VALLEJO,36
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros publicados,Libro resultado de investigación,CONSUMO DE DROGAS Y LUDOPATÍA EN EL MUNICIPIO DE ENVIGADO,Colombia,2015,978-958-8399-78-2,Fondo Editorial Fundacion Universitaria Luis Amigo,"GUILLERMO ALONSO CASTANO PEREZ, CESAR AUGUSTO JARAMILLO",37
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros publicados,Libro resultado de investigación,"Barras Bravas En El Futbol, Consumo De Drogas Y Comportamientos Violentos. El Caso De La Ciudad De Medellin.",Colombia,2014,978-958-8399-72-0,Fondo Editorial Fundacion Universitaria Luis Amigo,"GUILLERMO ALONSO CASTANO PEREZ, SANDRA MILENA RESTREPO ESCOBAR, NICOLAS IGNACIO URIBE ARAMBURO",38
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros publicados,Libro resultado de investigación,Adolescencia Sexo Y Consumo De Drogas,Colombia,2013,978-958-8399-61-4,Fondo Editorial Funlam,"GUILLERMO ALONSO CASTANO PEREZ, EDUARDO ARANGO, SANTIAGO MORALES MESA, MARIA CAROLINA MONTOYA MONTOYA, ALEXANDER RODRIGUEZ BUSTAMANTE",39
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros publicados,Libro resultado de investigación,"Fundamentos De Medicina: Adicciones, Aspectos Clínicos Y Psicosociales, Tratamiento Y Prevencion",Colombia,2013,978-958-8843-01-8,Fondo Editorial Cib Medellin,"CESAR AUGUSTO JARAMILLO JARAMILLO, ELVIA VELASQUEZ DE PABON",40
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros publicados,Libro resultado de investigación,"Prevalencia De Consum,Riesgode Adicción A Sustancia Psicoactivas Y Aficción Ajuegos De Azar En Estudiante Universitarios Del Valle De Aburrá 2009",Colombia,2012,978-958-8674-13-1,Impresos Begon Limitada,"GUILLERMO ALONSO CASTANO PEREZ, GUSTAVO ADOLFO CALDERON VALLEJO, ANGELA MARIA CARDONA SEGURA, CAROLINA MONTOYA MONTOYA, ANGELA MARIA PARRA BASTIDAS, JAIME EDUARDO ORDONEZ MOLINA",41
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros publicados,Libro resultado de investigación,La Ludopatía: Una Dependencia No Química De Cuidado,Colombia,2010,978-958-8399-24-9,Fondo Editorial Fundacion Universitaria Luis Amigo,"GUILLERMO ALONSO CASTANO PEREZ, GUSTAVO ADOLFO CALDERON VALLEJO, ADELAIDA STORTI",43
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros publicados,Libro resultado de investigación,Desplazados Por La Violencia En Colombia. La Visibilizacion De Los Mas Vulnerables. Sistematización Y Evaluación De Una Experiencia De Intervención Con Familias Desplazadas Por La Violencia En La Ciudad De Medellín.,Colombia,2007,978-958-98047-6-6,Fondo Editorial Fundacion Universitaria Luis Amigo,GUILLERMO ALONSO CASTANO PEREZ,45
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros publicados,Libro resultado de investigación,La Seducción Publicitaria Para El Consumo De Licor En Medellín,Colombia,2007,978-958-98047-7-3,Fondo Editorial Fundacion Universitaria Luis Amigo,"GUSTAVO ADOLFO CALDERON VALLEJO, VICTOR  VILLA MEJIA, GUILLERMO ALONSO CASTANO PEREZ",46
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros publicados,Libro resultado de investigación,Investigacion Sobre Prevencion De Las Drogodependencias En Colombia Estado Del Arte,Colombia,2006,978-958-97685-9-4,Fondo Editorial Fundacion Universitaria Luis Amigo,"GUSTAVO ADOLFO CALDERON VALLEJO, GUILLERMO ALONSO CASTANO PEREZ, ANGELA MARIA PARRA",48
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros publicados,Libro resultado de investigación,Problemas tecnológicos en las Unidades de Producción en Medellín y el área Metropolitana,Colombia,2001,958-96746-,Universidad del Valle,"GUSTAVO ADOLFO CALDERON VALLEJO, MIRIAM MEJIA GARCES, CARLOS ROMAN MALDONADO",50
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros publicados,Libro resultado de investigación,Socialización Familiar De Las Prácticas Y Valores De Convivencia En Medellín Desde Los Años Ochenta,Colombia,2001,958-96832-9-0,Departamento De Publicaciones Fundacion Universitaria Luis Amigo,GUSTAVO ADOLFO CALDERON VALLEJO,51
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros publicados,Libro resultado de investigación,La organización interna de la familia en Medellín y su Area Metropolitana 1997,Colombia,2000,9683266,Fundación Universitaria Luis Amigó,"GUSTAVO ADOLFO CALDERON VALLEJO, PATRICIA ELENA RAMIREZ ARBOLEDA",52
AYELEN,Libros publicados,Libro resultado de investigación,"ciberbullying,salud y afrontamiento en estudiantes: el caso de dos universidades",Colombia,2019,978-958-8943-49-7,Fondo Editorial Universidad Católica Luis Amigó,"BENILDA LAYNE BERNAL, PEDRO ALVAREZ MASSI, JOSE FERNANDO LUQUE MANRIQUE",53
AYELEN,Libros publicados,Libro resultado de investigación,Adolescencia y familia La transformación de la familia colombiana y su incidencia en los adolescentes,Colombia,2018,978-958-760-116-9,Editorial Universidad Cooperativa De Colombia,"NORMAN DARIO MORENO CARMONA, VIVIANA CARMENZA AVILA NAVARRETE, PAULJAVIER BEDOYA PASTRANA",54
AYELEN,Libros publicados,Libro resultado de investigación,"Narrando paz ando - Iniciativas exitosas de paz en Cundianamarca, Boyacá y Antioquia 2005-2013",Colombia,2018,9789587835526,Universidad Nacional de Colombia,"MARIELA INES SANCHEZ CARDONA, SANDRA LUZ CASTRO LESMES",55
AYELEN,Libros publicados,Libro resultado de investigación,El Suicidio: Cuatro Perspectivas,Colombia,2015,978-958-8399-86-7,Fondo Editorial Funlam,BENILDA LAYNE BERNAL,56
AYELEN,Libros publicados,Libro resultado de investigación,"Saberes, actores y escenarios de la Licenciatura en Pedagogía Reeducativa (1984 a 2008)",Colombia,2008,,Impulso Gráfico,NOHORA PATRICIA ARIZA HERNANDEZ,57
AYELEN,Libros publicados,Libro resultado de investigación,De Los Maestros Su Semilla,Colombia,2006,958-33-8897-1,Digiprint Editores,MARITZA LAYNE BERNAL,58
AYELEN,Libros publicados,Libro resultado de investigación,Habitantes de la Calle en Bogotá-Representaciones sociales sobre espacio público y ciudadanía,Colombia,2005,,Editorial Departamento De Publicaciones Fundacion Universitaria Luis Amigo,"SANDRA LUZ CASTRO LESMES, WILSON MELLIZO, MAGDA  MORALES SANCHEZ",59
CALIDAD DE VIDA,Libros publicados,Libro resultado de investigación,Adolescencia y familia. La transformación de la familia colombiana y su incidencia en los adolescentes,Colombia,2018,978-958-760-116-9,Editorial Universidad Cooperativa De Colombia,"PAULJAVIER BEDOYA PASTRANA, NORMAN DARIO MORENO CARMONA, VIVIANA CARMENZA AVILA NAVARRETE",60
CALIDAD DE VIDA,Libros publicados,Libro resultado de investigación,CONSTRUCCIÓN DE IDENTIDADES Y PARTICIPACIÓN COMUNITARIA. Un enfoque sociopolítico en la formación universitaria,Venezuela,2016,978-980-427-010-9,Universidad Nacional Experimental Rafael María Baralt - Fondo Editorial UNERMB,ESTELIO JOSE ANGULO,61
CALIDAD DE VIDA,Libros publicados,Libro resultado de investigación,CONSTRUCCION DE IDENTIDADES SOCIOPOLÍTICAS Y PARTICIPACIÓN COMUNITARIA DEL DOCENTE INTEGRAL EN FORMACIÓN,Venezuela,2016,978-980-6792-64-7,Universidad Nacional Experimental Rafael María Baralt - Fondo Editorial UNERMB,ESTELIO JOSE ANGULO,62
CALIDAD DE VIDA,Libros publicados,Libro resultado de investigación,Adolfo Pacheco Juglar De Los Montes De María,Colombia,2014,978-958-46-5289-8,Pretelt Patron,ALBIO MARTINEZ SIMANCA,63
CALIDAD DE VIDA,Libros publicados,Libro resultado de investigación,La Costa Abajo. Un Pedazo Del Caribe Colombiano. Cultura De Los Afrodescendientes Cordobeses Costaneros.,Colombia,2011,978-958-44-9297-5,Fondo Editorial Universidad De Cordoba,MERY RAQUEL CARDONA OVIEDO,64
CALIDAD DE VIDA,Libros publicados,Libro resultado de investigación,Estrategias Pedagógicas Basadas En La Comprensión. Las Manifestaciones De Liderazgo En El Ámbito De La Inteligencia Emocional,Colombia,2011,978-958-9244-47-0,Maestría en Educación SUE CARIBE,JOAQUIN JOSE ROJANO DE LA HOZ,66
CALIDAD DE VIDA,Libros publicados,Libro resultado de investigación,Estudiantes Y Cambios Generacionaloes En La Sociedad Colombiana,Colombia,2011,978-958-44-8712-4,Albio Martinez,ALBIO MARTINEZ SIMANCA,67
CALIDAD DE VIDA,Libros publicados,Libro resultado de investigación,"José Felix Fuenmayor ""Entre La Tradición Y La Vanguardia"" Autor: Albio Martinez Simanca",Colombia,2011,978-958-98917-4-2,Observatorio Del Caribe Colombiano,ALBIO MARTINEZ SIMANCA,68
CALIDAD DE VIDA,Libros publicados,Libro resultado de investigación,Psicologia Forense: Estudio De La Mente Criminal.,Colombia,2010,978-958-741-051-8,Ediciones Uninorte,GUSTAVO ANTONIO BRUNAL GONZALEZ,69
CALIDAD DE VIDA,Libros publicados,Libro resultado de investigación,Las familias afrodescendientes. Raíces de África en el Caribe. Una mirada etnográfica en el departamento de Córdoba - Colombia.,Colombia,2010,978-958-8399-19-5,FONDO EDITORIAL FUNDACIÓN UNIVERSITARIA LUIS AMIGÓ,FRANCISCO WILLIAM MERCADO MERCADO,72
CALIDAD DE VIDA,Libros publicados,Libro resultado de investigación,Fundamnetos Conceptuales Y Metodològicos Para La Construcciòn De Cultura Ambiental,Colombia,2010,978-958-44-0272-1,Ed Panamericana Formas E Impresos Sa Bogota,"VICTOR TERAN REALES, JOAQUIN ROJANO DE LA HOZ, MERI CARDONA OVIEDO, FRANCISCO MERCADO MERCADO",73
CALIDAD DE VIDA,Libros publicados,Libro resultado de investigación,Medios y Tecnologías: Espacios alternativos para enseñar y aprender,Colombia,2010,978-958-44-6371-5,Fondo Editorial Universidad De Cordoba,"GLENIS BIBIANA ALVAREZ QUIROZ, MARTHA CECILIA ROMERO MORENO, MANUEL CARO PINERES",74
CALIDAD DE VIDA,Libros publicados,Libro resultado de investigación,Plan Estratégico Departamental De Ciencia Tecnología E Innovación De Córdoba,Colombia,2009,978-958-57519-7-2,Observatorio Del Caribe Colombiano,VICTOR TERAN REALES,76
CALIDAD DE VIDA,Libros publicados,Libro resultado de investigación,Incorporacion De La Dimension Ambiental A Los Procesos Culturales Asociados Al Rescate Y Valoracion Del Patrimonio Cultural,Colombia,2008,978-958-8399-03-4,LOIS ANGEL ASOCIADOS,VICTOR TERAN REALES,80
CALIDAD DE VIDA,Libros publicados,Libro resultado de investigación,Proyecto De Cultura Ambiental Caec,Colombia,2008,978-958-44-0267-7,Ed Panamericana Formas E Impresos Sa Bogota,VICTOR TERAN REALES,81
CALIDAD DE VIDA,Libros publicados,Libro resultado de investigación,Territorios Y Territorialidades En La Calendaria,Colombia,2008,9789584402875,DESARROLLAMOS SOLUCIONES LTDA,VICTOR TERAN REALES,82
CALIDAD DE VIDA,Libros publicados,Libro resultado de investigación,Apartadences,Colombia,2007,978-95844-2643-7,Alto Vuelo Comunicaciones,"MERY RAQUEL CARDONA OVIEDO, VICTOR TERAN REALES",87
CALIDAD DE VIDA,Libros publicados,Libro resultado de investigación,Dinamicas De Las Familias Desplazadas Por La Violencia Social En Monteria,Colombia,2005,958-97524-6-2,Departamento de publicaciones FUNLAM,AMAURY DE JESUS ROMERO BALLESTEROS,93
CALIDAD DE VIDA,Libros publicados,Libro resultado de investigación,ESTILOS DE APRENDIZAJE DE LOS ESTUDIANTES DE LOS PRIMEROS SEMSTRES DE LA CORPORACIÒN UNIVERSITARIA DEL SINU.,Colombia,2003,,CORPORACION UNIVERSITARIA DEL SINU,LUZ BRUNAL DE PETRO,99
CALIDAD DE VIDA,Libros publicados,Libro resultado de investigación,Laboratorio Internacional de Ciencias Sociales - De la violencia a la no violencia,Colombia,2003,,UNIVERSIDAD DE SAN BUENAVENTURA,"FABIAN EDUARDO MARTINEZ GIRALDO, FRAY ARTURO CALLE RESTREPO, JOSE VITALINO ECHEVERRI H, DIEGO ALEJANDRO MUNOZ, FEDERICO BURGOS ACEVEDO, CARLOS DARIO PATINO, LUZ AMANDA ZAPATA D, FRANCISCO ARIAS",100
CALIDAD DE VIDA,Libros publicados,Libro resultado de investigación,Investigación En El Aula,Colombia,2000,958-95580-9-7,Universidad de la Guajira,JOAQUIN JOSE ROJANO DE LA HOZ,101
CALIDAD DE VIDA,Libros publicados,Libro resultado de investigación,Los Travestis Iconoclastas de Género,Colombia,1995,,Fondo editorial por la paz,"FABIAN EDUARDO MARTINEZ GIRALDO, BLANCA VALLE ZAPATA, NOELBA CORREA RUIZ",102
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Libros publicados,Libro resultado de investigación,"Juventud, violencia y paz : experiencias investigativas en barriadas populares de Cali y Medellín",Colombia,2020,978-958-5473-98-0,Sello Editorial Universidad de Medellín,"ANYERSON STITHS GOMEZ TABARES, CESAR NUNEZ, ELIZABETH GOMEZ ETAYO, ILVAR JOSUE CARANTON SANCHEZ, JUAN DAVID GIRALDO ROJAS, NORA MARGARITA VARGAS ZULUAGA, RODRIGO JESUS OCAMPO GIRALDO, LILIANA GALLO CONSUEGRA, ANGELA PATRICIA ARANGO VASQUEZ",103
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Libros publicados,Libro resultado de investigación,El suicidio. Una mirada integral e integradora,Colombia,2020,978-958-8943-61-9,Fondo Editorial Universidad Católica Luis Amigó,"DAVID IGNACIO MOLINA VELASQUEZ, SANDRA ISABEL MEJIA ZAPATA, ANGEL AUGUSTO VIZCAYA CASTILLO, JOHN JAIRO GARCIA PENA, ELIZA KRATC GIL, MARCOS VEGA SENA, OMAR AUGUSTO AMADOR SANCHEZ, JHOEEN SNEYDER ROJAS DIAZ, DIEGO LEON CARVAJAL SERNA, MARIA VICTORIA RESTREPO TOBON, ANA LUCIA CEBALLOS DUQUE, GLORIA CECILIA CARDONA RIOS",104
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Libros publicados,Libro resultado de investigación,El lugar de la subjetividad de las madres en los procesos psicopedagógicos de niños con necesidades educativas especiales,Colombia,2019,978-958-8943-46-6,Fondo Editorial Universidad Católica Luis Amigó,"DIEGO LEON AGUDELO CORDOBA, MAGDA VICTORIA DIAZ ALZATE",105
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Libros publicados,Libro resultado de investigación,"Locura y sociedad. Alienismo tardío, psicopatología e higiene mental en la modernidad colombiana, 1870-1968.",Colombia,2018,978-958-56893-8-1,Fondo Editorial Institución Universitaria de Envigado,JAIRO GUTIERREZ AVENDANO,106
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Libros publicados,Libro resultado de investigación,Habitar la educación. Vinculaciones y desvinculaciones entre los niveles escolares,Colombia,2018,978-958-8943-40-4,Fondo Editorial Universidad Católica Luis Amigó,CAROLINA VALDES HENAO,107
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Libros publicados,Libro resultado de investigación,Sentidos de ley y prácticas de justicia en el ámbito de la convivencia escolar. Dos referentes: Medellín (Colombia) y Santiago de Chile.,Colombia,2017,978-958.8943-26-8,Fondo Editorial Universidad Católica Luis Amigó.,JOHN JAIRO GARCIA PENA,108
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Libros publicados,Libro resultado de investigación,Propuesta efectiva de ruta de atención intersectorial a las violencias sexuales,Colombia,2016,978-958-8943-23-7,Fondo Editorial Funlam,JOHN JAIRO GARCIA PENA,109
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Libros publicados,Libro resultado de investigación,"Hablame de Vos. Diagnóstico Situacional de los derechos de la niñez y la adoelcencia en el Municipio de La Estrella, Antioquia",Colombia,2015,978-958-89430-2-2,Fondo Editorial Luis Amigó,"NICOLASA MARIA DURAN PALACIO, NORMAN DARIO MORENO CARMONA, EDISON FRANCISCO VIVEROS CHAVARRIA",110
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Libros publicados,Libro resultado de investigación,La Carrera De Las Niñas Enlos Grupos Guerrilleros Y Paramilitares De Colombia. Un Estudio Desde El Punto De Vista Del Agente,Colombia,2012,978-958-8399-42-3,Fondo Editorial Funlam,"JAIME ALBERTO CARMONA PARRA, FLORENTINO MORENO MARTIN, JOHN FELIPE TOBON HOYOS",112
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Libros publicados,Libro resultado de investigación,El Suicidio En La Pubertad Y La Adolescencia. Un Abordaje Desde La Psicologia Social,Colombia,2010,9789588399256,Fondo Editorial Funlam,"JAIME ALBERTO CARMONA PARRA, JUAN CARLOS  JARAMILLO ESTRADA, JOHN FELIPE TOBON HOYOS, YULIANA  AREIZA",115
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Libros publicados,Libro resultado de investigación,Cuerpo anhelado y cuerpo competente. Narrativas identitarias de mujeres con anorexia-bulimia,Colombia,2009,978-958-8399-13-3,Fondo Editorial Fundacion Universitaria Luis Amigo,ANDRES FELIPE MARIN CORTES,116
