grupo,categoria,Tipo_libro,Titulo,Pais,Ano,ISBN,Volumen,Paginas,Editorial,Autores
CALIDAD DE VIDA,Otros Libros publicados,Otro libro publicado,Historia de Colombia,Colombia,2005,9580-6120,1,250,Oveja Negra,ALBERTO GOMEZ MARTINEZ
CALIDAD DE VIDA,Otros Libros publicados,Otro libro publicado,Politicas de Juventud,Colombia,1994,,600,100,,LUCILA SOTTER MERCADO
CALIDAD DE VIDA,Otros Libros publicados,Otro libro publicado,Epopeya de la Conformidad,Colombia,1977,,1,170,Mejoras,JOAQUIN JOSE ROJANO DE LA HOZ
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Otros Libros publicados,Otro libro publicado,La Mediación Y La Evolución Histórica De La Idea De Conflicto,España,2010,978-84-8342-224-3,500,21,Colex,FLORENTINO MORENO MARTIN
FAMILIA DESARROLLO Y CALIDAD DE VIDA,Otros Libros publicados,Libro pedagógico y/o de divulgación,Fundamentos tacticos - estrategicos del fútbol de salón,Colombia,2014,2322-9411,,,Viref,JOSE TOMAS CORTES DIAZ
FAMILIA DESARROLLO Y CALIDAD DE VIDA,Otros Libros publicados,Otro libro publicado,Libélula Celta,Colombia,2011,978-958-44-7612-8,1,39,Edición Independiente,FREDY ALEXANDER ROMERO GUZMAN
FAMILIA DESARROLLO Y CALIDAD DE VIDA,Otros Libros publicados,Libro pedagógico y/o de divulgación,Convivencia Escolar. Manual De Referencia Bibliográfica,Colombia,2000,958-8134-12-9,,144,Pregon Ltda,"LUZ MERY ARIAS MUNOZ, RED DE CONVIVENCIA ESCOLAR, CORPORACION REGION"
FAMILIA DESARROLLO Y CALIDAD DE VIDA,Otros Libros publicados,Libro pedagógico y/o de divulgación,Convivencia Escolar. Manual De Referencia Bibliográfica,Colombia,2000,958-8134-12-9,1,1,Pregon Ltda,LUZ MERY ARIAS MUNOZ
"EDUCACION, INFANCIA Y LENGUAS EXTRANJERAS",Otros Libros publicados,Libro pedagógico y/o de divulgación,El cuento como estrategia pedagógica: una apuesta para pensar-se y narrar-se en el aula,Colombia,2016,978-958-8943-19-0,,,Fondo editorial Fundación Universitaria Luis Amigó,JOSE FEDERICO AGUDELO TORRES
NEUROCIENCIAS BASICAS Y APLICADAS,Otros Libros publicados,Otro libro publicado,Estrategia En Investigación 2022 (Ei2022),Colombia,2012,978-958-8399-58-4,1,190,Fondo Editorial Funlam,"ISABEL CRISTINA PUERTA LOPERA, JOSE WILMAR SANCHEZ"
GESNE,Otros Libros publicados,Libro pedagógico y/o de divulgación,Organizaciones de la Sociedad Civil en Caldas,Colombia,2019,978-958-5558-05-2,,,Editorial UAM - Universidad Autónoma de Manizales,"MONICA ANDREA BERNAL HERRERA, EDUARDO LINDARTE MIDDLETON, JAIME EDUARDO GALLEGO GONZALEZ, DORALICE ORTIZ ORTIZ, DIANA MARCELA GOMEZ SANCHEZ, LORENA AGUIRRE ALDANA"
GESNE,Otros Libros publicados,Otro libro publicado,Costeo de Operaciones Internacionales,Colombia,2019,978-958-771-736-5,,,Ediciones Ecoe,ROSA JANNET RESTEPO RESTREPO
GESNE,Otros Libros publicados,Otro libro publicado,Sistematización del fortalecimiento de organizaciones solidarias creadas en los espacios territoriales de capacitación y reincorporación por parte del SUEJE y la UAEOS,Colombia,2017,978-958-59653-1-7,,,CIRIEC Colombia,HERNANDO EMILIO ZABALA SALAZAR
GESNE,Otros Libros publicados,Otro libro publicado,"Cooperativismo, Historia y Doctrina",Colombia,2016,978-958-59697-0-4,,,Cooperativa Financiera John F. Kennedy Ltda,HERNANDO EMILIO ZABALA SALAZAR
GESNE,Otros Libros publicados,Otro libro publicado,Clic: Implicaciones de la Virtualidad Globalizada en el Sujeto,Colombia,2015,978-958-8399-87-4,,,Editorial Funlam,"LILIAN JOHANNA MARROQUIN NAVARRO, ALEXANDER RODRIGUEZ BUSTAMANTE, GLORIA MARIA LOPEZ ARBOLEDA"
GESNE,Otros Libros publicados,Libro pedagógico y/o de divulgación,"Participación Y Representación, Nuevos Paradigmas Para La Sociedad Civil",México,2013,978-9974-7519-5-8,,,ISTR,HERNANDO EMILIO ZABALA SALAZAR
JURIDICAS Y SOCIALES,Otros Libros publicados,Otro libro publicado,"Convidarte para la Paz: Niñas y niños de la primera Infancia, Familias Docentes y Agentes educativas",Colombia,2020,978-958-5150-00-3,,,,PAOLA ANDREA CARMONA TORO
JURIDICAS Y SOCIALES,Otros Libros publicados,Otro libro publicado,EL PRECEDENTE ADMINISTRATIVO Y SU CONSOLIDACIÓN EN EL DERECHO COLOMBIANO.,Colombia,2015,978-958-46-5998-9,,,Panorama,JESUS DAVID LONDONO BEDOYA
JURIDICAS Y SOCIALES,Otros Libros publicados,Otro libro publicado,EL CONCEPTO DE CONSTITUCION. UN RECORRIDO HISTÓRICO.,Colombia,2015,78-958-46-6008-4,,,Panorama,JESUS DAVID LONDONO BEDOYA
JURIDICAS Y SOCIALES,Otros Libros publicados,Otro libro publicado,Derecho Penal Internacional. Nociones,Colombia,2015,978-958-769-327-0,,,Editorial Leyer,RODRIGO ORLANDO OSORIO MONTOYA
SISCO,Otros Libros publicados,Libro pedagógico y/o de divulgación,Elementos básicos de estadística descriptiva para el análisis de datos,Colombia,2016,978-958-8943-05-3,,,Fondo Editorial Luis Amigó,GABRIEL JAIME POSADA HERNANDEZ
SISCO,Otros Libros publicados,Otro libro publicado,Línea De Investigación En Matemáticas Aplicadas,Colombia,2012,978-958-8399-48-5,0,52,Fondo Editorial Funlam,LUIS FERNANDO VARGAS CANO
SISCO,Otros Libros publicados,Otro libro publicado,Línea De Investigación En Matemáticas Aplicadas,Colombia,2012,978-958-8399-48-5,100,52,Fondo Editorial Funlam,GABRIEL JAIME POSADA HERNANDEZ
SISCO,Otros Libros publicados,Otro libro publicado,Línea De Investigación En Matemáticas Aplicadas,Colombia,2012,978-958-8399-48-5,0,52,Fondo Editorial Funlam,MAURICIO LOPEZ BONILLA
SISCO,Otros Libros publicados,Otro libro publicado,Educación Virtual: Escenarios para la Afectividad y la Convivencia.,Colombia,2007,,500,1,,JOSE EUCARIO PARRA CASTRILLON
