grupo,categoria,tipo_producto,titulo_capitulo,pais,ano,titulo_libro,ISBN,vol,pags,editorial,autores
CONTAS,Capítulos de libro publicados,Capítulo de libro,La comunicación de la responsabilidad social empresarial en la estrategia de la empresa: reflexiones y presentación de un ejercicio de análisis,Colombia,2013,Discusiones Contemporáneas De La Gestión,978-958-8399-60-7, ,55 - 67,Fondo Editorial Funlam,ELKIN HORACIO QUIROS LIZARAZO
CONTAS,Capítulos de libro publicados,Capítulo de libro,Aspectos métricos de la innovación en la universidad,Colombia,2012,Organización Y Conocimiento,978-958-8399-45-4, ,144 - 159,Fondo Editorial Funlam,ELKIN HORACIO QUIROS LIZARAZO
CONTAS,Capítulos de libro publicados,Capítulo de libro,Proceso de consolidación del capital social en la ciudad de Medellín en el marco de los enfoques de desarrollo humano y responsabilidad social,Colombia,2008,Agenda estudios de Medellín (2006 ¿ 2008): 10 investigaciones ganadoras del concurso convocado la Alcaldía de Medellín y Colciencias.,978-958-8493-04-6, ,51  - 68,Municipio de Medellín,"ELKIN HORACIO QUIROS LIZARAZO, ALFREDO MANUEL GHISO COTOS, OLGA LUCIA ARBOLEDA ALVAREZ"
CONTAS,Capítulos de libro publicados,Otro capítulo de libro publicado,La responsabilidad social en las pymes de Medellín: aproximación a un diagnóstico,Colombia,2007,Organizaciones Y Contabilidad,978-958-98047-5-9, 0,87 - 112,Fondo Editorial Fundacion Universitaria Luis Amigo,HERNAN CARLOS BUSTAMANTE GARCIA
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Capítulo de libro,La amistad como lealtad social y alteridad: fraternidad en la literatura apócrifa judía de la época del segundo templo,,2022,La hermandad desde la Biblia,978-84-9073-797-2, ,415 - 430,Editorial Verbo Divino,JUAN SEBASTIAN HERNANDEZ VALENCIA
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Capítulo de libro,"¿Es ""humano"" el transhumanismo? Visión desde los orígenes y el desarrollo del movimiento",Colombia,2021,Humanismo y transhumanismo: reflexiones desde las ciencias humanas y sociales,978-628-500-005-8, ,221 - 233,Editorial Universidad Pontificia Bolivariana,JUAN SEBASTIAN HERNANDEZ VALENCIA
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Capítulo de libro,POPULISMO REPERCUSIONES EN LA UNIVERSIDAD Y MOVIMIENTOS ESTUDIANTILES,Colombia,2021,REFLEXIONES ACADEMICAS ALREDEDOR DEL DERECHO ,9789587649208, ,203 - 228,UNIVERSIDAD PONTIFICIA BOLIVARIANA ,HERNAN ANDRES  CARMONA GARZON
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Capítulo de libro,El problema de la comprensión en la investigación social. Un esbozo histórico y conceptual.,Colombia,2020,niñas y sus familias.,978-958-52996-6-5, ,25 - 46,Sello Editorial T Tecnológico de Antioquia Institución Universitaria,DANIEL ESTEBAN QUIROZ OSPINA
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Capítulo de libro,Sobre lo femenino y el lazo social: una mirada a la violencia en Colombia,Colombia,2019,ritualidades,978-958-5415-43-0, ,51 - 59,Editorial Bonaventuriana,KELLY VARGAS GARCIA
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Capítulo de libro,"Hölderlin, Hiperión y el ideal de transformación",Colombia,2019,Novalis y Wackenroder,978-958-8943-47-3, ,21 - 69,Fondo Editorial Universidad Católica Luis Amigó,ANDRES ALFREDO CASTRILLON CASTRILLON
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Capítulo de libro,"La metamorfosis del pensamiento. Dialéctica sobre los conceptos de arte, naturaleza e historia en Kant y Hölderlin",Colombia,2019,Novalis y Wackenroder,978-958-8943-47-3, ,71 - 106,Fondo Editorial Universidad Católica Luis Amigó,PALOMA MARIN ESCOBAR
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Otro capítulo de libro publicado,Una experiencia piloto,Colombia,2018,LETRAS PARA VIVIR: RELATOS Y CUENTOS,978-958-8943-37-4, ,30 - 35,Fondo Editorial Universidad Católica Luis Amigó,DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Otro capítulo de libro publicado,Re-nacer,Colombia,2018,LETRAS PARA VIVIR: RELATOS Y CUENTOS,978-958-8943-37-4, ,18 - 19,Fondo Editorial Universidad Católica Luis Amigó,DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Otro capítulo de libro publicado,Eurípides y la posición del georgós en la Atenas democrática,Colombia,2016,Jornadas de Reflexión Filosófica y Teológica. Pensar la actualidad,2500-8390, ,148 - 158,Fundación Universitaria Luis Amigó,CARLOS ANDRES GALLEGO ARROYAVE
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Otro capítulo de libro publicado,Reivindicación del cuerpo en la cultura cristiana contemporánea,Colombia,2016,Jornadas de Reflexión Filosófica y Teológica: Pensar la Actualidad,2500-8390, ,9 - 18,Fondo Editorial Luis Amigó,JONATHAN ANDRES RUA PENAGOS
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Otro capítulo de libro publicado,El Secreto,Colombia,2015,Poesías Y Ensayos,978-958-8399-90-4, ,8 - 11,Fondo Editorial Funlam,LEIDY ANDREA RIOS RESTREPO
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Otro capítulo de libro publicado,"Orestes: entre la razón y la locura, la enfermedad y el ímpetu",Argentina,2015,Actas De Las Vii Jornadas Nacionales De Filosofía Antigua. El Cuerpo Y El Alma En La Filosofía Antigua,978-987-702-118-9, ,178 - 183,UNR Editora,JHOANA ANDREA GUTIERREZ CADAVID
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Otro capítulo de libro publicado,El cuerpo andrajoso de Jerjes y el espectro puro de Darío. Hybris y sophrosyne en los personajes de Los persas.,Argentina,2015,Actas De Las Vii Jornadas Nacionales De Filosofía Antigua. El Cuerpo Y El Alma En La Filosofía Antigua,978-987-702-118-9, ,156 - 164,UNR Editora,CARLOS ANDRES GALLEGO ARROYAVE
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Otro capítulo de libro publicado,Lenguaje y vida: reflexión a partir del bello texto de Toni Morrison,Colombia,2015,La Filosofía Hoy,978-958-8399-84-3, ,9 - 16,Fondo editorial Funlam,DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Otro capítulo de libro publicado,La experiencia poética como absoluto hölderliniano,Colombia,2015,La Filosofía Hoy,978-958-8399-84-3, ,181 - 192,Fondo editorial FUNLAM,JHOANA ANDREA GUTIERREZ CADAVID
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Otro capítulo de libro publicado,Ontología entre el pensar y el poetizar de Heidegger y Hölderlin,Colombia,2015,La Filosofía Hoy,978-958-8399-84-3, ,164 - 180,Fondo Editorial Funlam,PALOMA MARIN ESCOBAR
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Capítulo de libro,EDUCAR EN Y PARA LA DEMOCRACIA: EL DESAFÍO DE AMÉRICA LATINA,Colombia,2014,Democracia o Engaño,9789588366982, ,245 - 266,Ediciones UNAULA,JESUS DAVID GIRADO SIERRA
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Otro capítulo de libro publicado,El cuerpo: ámbito de encuentro con el otro en la pedagogía amigoniana,Colombia,2014,Memorias Simposio Internacional De Educación Y Pedagogía De La Alteridad,978-958-58278-2-0, ,1 - 12,Red de Pedagogía S.A.S.,JONATHAN ANDRES RUA PENAGOS
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Otro capítulo de libro publicado,Ética y Educación Física: una perspectiva curricular,Colombia,2013,El Deporte Y La Actividad Física A Partir De Una Mirada Educativa,978-958-8848-51-8, ,95 - 106,Coedicion Kinesis Colciencias Universidad De Antioquia,JONATHAN ANDRES RUA PENAGOS
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Otro capítulo de libro publicado,La experiencia mística: su comprensión desde una perspectiva naturalizada,Colombia,2013,Ciencia Y Religión: Reflexiones En Torno A Una Racionalidad Incluyente,9789587650822, ,15 - 35,Programa Editorial Facultad De Humanidades Universidad Del Valle,LINA MARCELA DE LA MILAGROSA CADAVID RAMIREZ
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Otro capítulo de libro publicado,A propósito de la Teología del Deporte,Uruguay,2012,Congreso Continental De Teología. La Teología De La Liberación En Prospectiva,978-9974-670-84-6, ,217 - 226,Doble Clic,JONATHAN ANDRES RUA PENAGOS
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Otro capítulo de libro publicado,Las Luchas por la Memoria en América Latina: un Camino hacia la Visibilización de las Víctimas y la Consolidación de una Justicia Restaurativa,Colombia,2012,Política Y Cultura En América Y Latina,958-8366-50-X, ,89 - 134,,JESUS DAVID GIRADO SIERRA
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Otro capítulo de libro publicado,Colombia: un Compromiso con la Memoria en medio del Conflicto,Colombia,2012,Mediación Y Memoria. Justicia Restaurativa Y Daño Colectivo,978-958-57192-5-5, ,103 - 132,Fondo Editorial Remington,JESUS DAVID GIRADO SIERRA
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Otro capítulo de libro publicado,La investigación en la lógica del formato o la muerte del conocimiento,Colombia,2012,2012,978-958-8399-54-6, ,53 - 57,Fondo Editorial Funlam,DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Otro capítulo de libro publicado,"Un café para la tarde : cuento, poesía y ensayo / Concursos de escritura FUNLAM 2011 . -- Medellín : Fundación Universitaria Luis Amigó, 2012",Colombia,2012,2012,978-958-8399-54-6, ,34 - 37,Fondo Editorial Funlam,MILTON ANDRES ORTIZ ESCOBAR
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Otro capítulo de libro publicado,Vahído en las cornisas,Colombia,2012,2012,978-958-8399-59-1, ,25 - 26,Fondo Editorial Funlam,MILTON ANDRES ORTIZ ESCOBAR
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Capítulo de libro,Identidad: categoría y modelo aplicados a la Fundación Universitaria Luis Amigó,Colombia,2011,Organización Y Conocimiento,978-958-8399-45-4, ,59 - 80,Fondo Editorial Funlam,"DAVID ESTEBAN ZULUAGA MESA, JUAN ANDRES CARDENAS DORIA"
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Otro capítulo de libro publicado,La socociedad del consumo en la sociedad del riesgo: un entronque entre Gilles Lipovetsky y Ulrich Beck.,Colombia,2010,Urdimbres.,978-958-8436-34-0, ,199 - 216,Editorial Bonaventuriana,FREDY DE JESUS FERNANDEZ MARQUEZ
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Otro capítulo de libro publicado,AUTONOMÍA Y FORMACIÓN EN: JUAN JACOBO ROUSSEAU,Colombia,2010,Herramientas De Trabajo En Participacion Ciudadana Y Acciones Afirmativas,978-958-8658-00-1, ,456 - 510,Compucopiamos Ltda,FREDY DE JESUS FERNANDEZ MARQUEZ
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Otro capítulo de libro publicado,Polemistas católicos colombianos,España,2008,Teologia En America Latina. De Las Guerras De Independencia Hasta Finales Del Siglo Xix,978-84-8489-333-2, ,410 - 447,Iberoamericana/Vervuert,IVAN DARIO TORO JARAMILLO
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Otro capítulo de libro publicado,Nietzsche: metafìsica para el artista globalizado,Colombia,2008,Aproximaciones al arte y la religión desde la antropología filosófica en el contexto de la postmodernidad y la globalización,0, 1,17 - 41,Fundación Universitaria Luis Amigó,VICTOR RAUL JARAMILLO RESTREPO
FILOSOFIA Y TEOLOGIA CRITICA,Capítulos de libro publicados,Otro capítulo de libro publicado,Palabra y padecimiento.,Colombia,2002,La palabra detonante,0, 14,7 - 24,U.P.B.,VICTOR RAUL JARAMILLO RESTREPO
URBANITAS,Capítulos de libro publicados,Capítulo de libro,Advertcaring: hibridación publicitaria para el bienestar,Colombia,2020,Ecociudades una experiencia urbana,9789585296329, ,107 - 133,Fondo Editorial Pascual Bravo,JUAN DIEGO LOPEZ MEDINA
URBANITAS,Capítulos de libro publicados,Capítulo de libro,"Leo Burnett, el paso del periodismo al copy publicitario y la evolución del texto impreso a la narrativa digital.",Ecuador,2020,El apagón analógico y el despertar del periodismo digital,9789978775158, ,111 - 148,Centro de Publicaciones PUCE,"RAFAEL VARGAS CANO, JUAN DIEGO LOPEZ MEDINA"
URBANITAS,Capítulos de libro publicados,Capítulo de libro,Experiencia Amazon,Colombia,2020,papel y píxel. El texto digital en juego,-978-958-8943-54-1, ,31 - 49,Fondo Editorial Luis Amigó,JUAN DIEGO LOPEZ MEDINA
URBANITAS,Capítulos de libro publicados,Otro capítulo de libro publicado,Experiencia Amazon,Colombia,2020,papel y pixel: el libro digital en juego,978-958-8943-54-1, ,31 - 49,Fondo Editorial Luis Amigó,"EDWIN ANDRES SEPULVEDA CARDONA, JUAN DIEGO LOPEZ MEDINA, ANNY CRISTINA CARDENAS LOPEZ, ANCIZAR VARGAS LEON, ASTRID LORENA CARMONA SUAREZ, CARLOS SUAREZ QUICENO"
URBANITAS,Capítulos de libro publicados,Otro capítulo de libro publicado,Producciones digitales hipermediales desde la investigación y la docencia,Colombia,2020,papel y pixel. El texto digital en juego.,978-958-8943-54-1, ,70 - 77,Fondo Editorial Universidad Católica Luis Amigó,"CARLOS SUAREZ QUICENO, EDWIN ANDRES SEPULVEDA CARDONA"
URBANITAS,Capítulos de libro publicados,Capítulo de libro,Relacionamiento estratégico para potenciar acciones de responsabilidad social empresarial (p. 128),Colombia,2020,cultura y sociedad,-978-958-52584-2-6, ,128 - 148,Fondo Editorial Pascual Bravo,JUAN DIEGO LOPEZ MEDINA
URBANITAS,Capítulos de libro publicados,Otro capítulo de libro publicado,"Ecosistemas digitales para la formación: Redes sociales, ebooks y ciencia 2.0",Colombia,2020,papel y pixel: el texto digital en juego,978-958-8943-54-1, ,51 - 65,Fondo Editorial Universidad Católica Luis Amigó,"EDWIN ANDRES SEPULVEDA CARDONA, CARLOS SUAREZ QUICENO"
URBANITAS,Capítulos de libro publicados,Otro capítulo de libro publicado,Producciones digitales hipermediales desde la investigación y la docencia,Colombia,2020,papel y pixel: el texto digital en juego,978-958-8943-54-1, ,70 - 77,Fondo Editorial Universidad Católica Luis Amigó,"EDWIN ANDRES SEPULVEDA CARDONA, CARLOS SUAREZ QUICENO"
URBANITAS,Capítulos de libro publicados,Otro capítulo de libro publicado,"Ecosistemas digitales para la formación: redes sociales, ebooks y ciencia 2.0",Colombia,2020,papel y pixel. El texto digital en juego.,978-958-8943-54-1, ,51 - 65,Fondo Editorial Universidad Católica Luis Amigó,"CARLOS SUAREZ QUICENO, EDWIN ANDRES SEPULVEDA CARDONA"
URBANITAS,Capítulos de libro publicados,Otro capítulo de libro publicado,Agir com o signo da compreensao,Brasil,2019,Agir com o signo da compreensao,978-85-7814-405-4, ,213 - 225,Universidade Metodista Sao Paulo,MARCOS VEGA SENA
URBANITAS,Capítulos de libro publicados,Capítulo de libro,"1. Descripción del contexto. 1.1. RSE, estrategias favorables para el valor de marca",Colombia,2019,Estrategias de publicidad social. Coyunturas sociales como oportunidad de mejoramiento de valor responsable,9789588943480, ,10 - 14,Fondo Editorial Luis Amigó,JUAN DIEGO LOPEZ MEDINA
URBANITAS,Capítulos de libro publicados,Capítulo de libro,1. Descripción del contexto. 1.3 ¡Publicidad!...¿social?,Colombia,2019,Estrategias de publicidad social. Coyunturas sociales como oportunidad de mejoramiento de valor responsable,9789588943480, ,16 - 19,Fondo Editorial Luis Amigó,JUAN DIEGO LOPEZ MEDINA
URBANITAS,Capítulos de libro publicados,Capítulo de libro,3. Consideraciones finales,Colombia,2019,Estrategias de publicidad social. Coyunturas sociales como oportunidad de mejoramiento de valor responsable,9789588943480, ,134 - 137,Fondo Editorial Luis Amigó,JUAN DIEGO LOPEZ MEDINA
URBANITAS,Capítulos de libro publicados,Otro capítulo de libro publicado,La pelada del Instagram,Colombia,2018,Letras para vivir: relatos y cuentos,978-958-8943-37-4, ,8 - 13,Fondo Editorial Universidad Católica Luis Amigó,EDWIN ANDRES SEPULVEDA CARDONA
URBANITAS,Capítulos de libro publicados,Capítulo de libro,"Comunicación visual en la era posdigital: hipertexto, skeumorfismo y material design",Colombia,2017,color y marca,978-958-8943-36-7, ,25 - 32,Fondo Editorial Universidad Católica Luis Amigó,EDWIN ANDRES SEPULVEDA CARDONA
URBANITAS,Capítulos de libro publicados,Otro capítulo de libro publicado,"Relaciones Publicas, un estudio para su futuro",Colombia,2017,diálogo de saberes y prácticas colaborativas en red,978-958-781-165-0, ,210 - 211,Ecoe Ediciones Universidad Javeriana,ANCIZAR VARGAS LEON
URBANITAS,Capítulos de libro publicados,Otro capítulo de libro publicado,¿Ganar y tirar al arco¿. Comparación estadística entre el fútbol profesional de Colombia y Argentina,Colombia,2017,Libro de resúmenes,2463-0489, ,532 - 535,Departamento Publicaciones Universidad Santo Tomas,FERNANDO AQUILES DE LA SANTISI ARANGO NAVARRO
URBANITAS,Capítulos de libro publicados,Otro capítulo de libro publicado,De la sociedad red y de la información a la sociedad del conocimiento: una visión prospectiva desde la comunicación,Colombia,2017,diálogo de saberes y prácticas colaborativas en red,978-958-781-165-0, ,162 - 162,Ecoe Ediciones Universidad Javeriana,ANCIZAR VARGAS LEON
URBANITAS,Capítulos de libro publicados,Otro capítulo de libro publicado,"Ciberidolatría, una esperanza destructiva para la familia.",Ecuador,2017,Sin Familia No Hay Futuro,9789942302366, ,278 - 283,VINCULOS PARA EL CAMBIO,JHOEEN SNEYDER ROJAS DIAZ
URBANITAS,Capítulos de libro publicados,Otro capítulo de libro publicado,"e-Salud, una ventana abierta a la prevención de las adicciones",Colombia,2017,Educación digital y Gestión del talento humano en Iberoamérica,978-958-59518-6-0, ,31 - 42,Sello Editorial: Corporación Centro Internacional de Marketing Territorial para la Educación y el Desarrollo,"SANDRA MILENA RESTREPO ESCOBAR, EDWIN ANDRES SEPULVEDA CARDONA"
URBANITAS,Capítulos de libro publicados,Capítulo de libro,De la sociedad red y de la información a la sociedad del conocimiento: una visión prospectiva desde la comunicación,Colombia,2017,diálogo de saberes y prácticas colaborativas en red,-978-958-781-165-0, ,1 - 7,Editorial Pontificia Universidad Javeriana,ANCIZAR VARGAS LEON
URBANITAS,Capítulos de libro publicados,Capítulo de libro,"""Relaciones públicas: un estudio para su futuro""",Colombia,2017,diálogo de saberes y prácticas colaborativas en red,-978-958-781-165-0, ,210 - 220,Editorial Pontificia Universidad Javeriana,"ANCIZAR VARGAS LEON, LINA MARIA GONZALEZ CORREA"
URBANITAS,Capítulos de libro publicados,Otro capítulo de libro publicado,Relaciones públicas: un estudio para su futuro,Colombia,2016,diálogo de saberes y prácticas colaborativas en red,978-958-781-165-0, ,210 - 220,Editorial Pontificia Universidad Javeriana,LINA MARIA GONZALEZ CORREA
URBANITAS,Capítulos de libro publicados,Otro capítulo de libro publicado,Análisis de seis publicaciones científicas en el campo de la comunicación en Colombia,Colombia,2016,José Miguel Pereira (Editor),978-958-781-165-0, ,243 - 256,Editorial Pontificia Universidad Javeriana,LINA MARIA GONZALEZ CORREA
URBANITAS,Capítulos de libro publicados,Otro capítulo de libro publicado,"Transmedia storytelling y libros digitales, estrategias para la transferencia de conocimiento",Colombia,2016, ¿EDUcación y TECnología. Propuestas desde la investigación y la innovación educativa¿. ,978-84-9921-847-2, ,255 - 256,OCTAEDRO ,EDWIN ANDRES SEPULVEDA CARDONA
URBANITAS,Capítulos de libro publicados,Otro capítulo de libro publicado,Andamiaje instruccional y diseño para lectura en pantalla,Colombia,2016, ¿EDUcación y TECnología. Propuestas desde la investigación y la innovación educativa¿. ,978-84-9921-847-2, ,261 - 262,OCTAEDRO ,EDWIN ANDRES SEPULVEDA CARDONA
URBANITAS,Capítulos de libro publicados,Capítulo de libro,"""Importancia del estado del arte en procesos de investigación y su relación con la metodología prospectiva""",Colombia,2016,XIX Encuentro Nacional de Investigación,2463-0004, ,83 - 87,Fondo editorial Luis Amigó,LINA MARIA GONZALEZ CORREA
URBANITAS,Capítulos de libro publicados,Capítulo de libro,Comunicación y Prospectiva,Colombia,2016,Pensamiento Prospectivo y Estrategia,978-958-651-595-5, ,122 - 145,Universidad Nacional Abierta y a Distancia,ANCIZAR VARGAS LEON
